,D002446,D006262,accuracy,macro avg,weighted avg
precision,0.8,0.92,0.87,0.86,0.88
recall,0.88,0.86,0.87,0.87,0.87
f1-score,0.84,0.89,0.87,0.87,0.87
support,722.0,1170.0,0.87,1892.0,1892.0
