,D003922,D006262,accuracy,macro avg,weighted avg
precision,0.86,1.0,0.92,0.93,0.93
recall,1.0,0.85,0.92,0.92,0.92
f1-score,0.92,0.92,0.92,0.92,0.92
support,12.0,13.0,0.92,25.0,25.0
