,D006262,D015658,accuracy,macro avg,weighted avg
precision,0.67,0.91,0.82,0.79,0.84
recall,0.8,0.83,0.82,0.82,0.82
f1-score,0.73,0.87,0.82,0.8,0.83
support,5.0,12.0,0.82,17.0,17.0
