"","755171__28130_239935","39492__1735_35833","726__850_859","28116__423605","28128__46506_137732","28130__239935","1644106__228604_454154","853__40519","28125__228603_487175","78345__1515_83771","228604__454154","204516__386414","40520__357276","85831__185293","856__214856","28111__820_376804","850__859","31971__310298","1686__397865","47678__387661","1735__35833","1515__83771","310514__823_165179","228603__487175","33033__1297750","328814__28117_218538","818__187327","823__165179","46506__137732","28117__218538","820__376804"
"ERR315271",2.44469911922085,0,0,0,3.51488987209337,5.27889241582776,0,0,0,-2.64254077896178,0,0,0,0,0,0,0,0,0,0,0,-4.57701489023444,-2.86612332826198,0,0,0,0,-4.96427122530816,-4.50584938814161,0,0
"ERR315275",0,-2.30384403127394,-2.53069241905706,0,0.482239375156437,0,0,4.47462011617399,0,0,0,0,0,0,0,-2.70327856354067,-4.38328784813622,0,0,0,3.99037491488077,0,-3.42561571862672,0,0,-2.47162430563122,0,-5.93334047186805,0.0387299514107806,-4.28097887457542,4.68221581906425
"ERR315276",0,0,0,0,-2.36670937007906,0,0,4.97245672910075,0,-2.59016714353017,0,0,0,0,0,2.29287164344154,0,0,0,0,0,4.4863010926898,-2.95348324180222,0,-4.1545923274044,2.45582417850348,0,-5.11558303410468,4.09926087572626,4.13922060731937,4.40222429763168
"ERR315278",-2.69971556186422,0,-1.03187132336856,0,0,4.67604451913319,0,0,0,0,0,0,0,0,0,0,-0.329927419661096,0,0,0,0,0,-2.49750653557411,0,-0.242839315105856,0,0,-4.32580821184969,0,0,0
"ERR315281",0,-2.72245957122252,0,0,0,0,-4.342632903374,4.56173372697888,-2.43172991415464,-2.18886634101227,0.0907309210225022,0,0,0,0,0,0,0,3.82806301733519,0,4.71543829890958,-3.79122771361063,-3.6423842629985,4.21187976160094,0,0,0,-6.30879460420272,0,0,0
"ERR315282",-3.4853641741064,0,0,0,0,-6.03682783243262,0,0,0,0,0,1.11543257298465,0.0927098749948738,0,0,0,0,0,0,-3.76267548743925,0,0,-3.33329286907605,0,0,0,-0.756276731935167,-5.77343260574675,0,0,0
"ERR315284",0,-2.50600408258313,0,0,0,0,0,-0.0354805880803467,0,0.977779588965053,0,0,0,0,0,0,0,0,4.22338331880892,0,4.34052639500902,-5.54285249705757,-3.30101186604431,0,0,-2.87147047576732,-4.61023910345367,-5.7175202683765,0,-4.97353275646298,0
"ERR315286",0,-2.23818525851901,0,0,0,0,0,-0.375539256705229,-2.47095427419661,-3.52933232037247,0,0,0,0,0,0,0,0,0,-3.82874602747668,3.87665058450661,-6.11298289568008,-3.32588652327764,4.279818346088,0,-2.57455955969155,0,-5.76060443852549,0,-4.45926796449792,0
"ERR315288",0,-4.95856180675441,-3.37121777834246,0,-3.03110654529129,0,0,0,0,0,0,4.32313023330139,0,0,4.05393782403373,-2.65547508550312,5.83912047546862,0,0,-4.04823876898351,0.418724566229711,0,0,0,0,0,4.59866684457769,0,5.2500305395991,0,4.59941776632471
"ERR315300",0,-2.46571866818484,0,0,0,0,0,4.44927310167237,2.57989435588393,0,0,0,0,0,0,0,0,0,0,0,4.27075001046721,0,-3.57729126156252,3.92578632727901,0,-2.59561041783885,-3.92578632727901,-6.19605021849844,0,-4.49572912035197,0
"ERR315301",0,0,0,0,0,0,-2.03195815041753,4.04524360443159,-2.22383502983036,0,3.51945475537684,0,0,0,0,0,0,0,3.48957243897883,0,0,0,0.39693191517142,3.85179525931763,0,-2.45530414350116,0,-6.52554291103634,0,-4.25271152457839,0
"ERR315302",0,0,0,4.54459663564113,0,0,-2.94349100548425,0,0,0,-5.09827597312071,0,0,0.0296000917506155,0,-0.577526204759479,0,0,0,0,0,0,-2.61974497334113,0,-4.27553555117214,0,0,-4.53753139670002,0,0,0.246540236649863
"ERR315305",0,0,0,0,0,0,-1.99751298469454,4.59102448054907,0,0,-3.45979397826949,0,3.38313720252865,0,0,-2.62439452538465,0,0,0,-3.947499128901,0,0,-5.74096778453785,0,-3.4250522262033,0,0,-3.02405993089672,0,0,4.54558465707182
"ERR315308",0,0,0,5.18048991430078,-3.28095257005001,0,0,4.61923392543487,-2.63080501607892,0,0,5.04987498223513,0,4.91891619868476,0,-2.89041104153096,0,0,0,0,0,0,0,-4.55668795265575,0,-2.43178519467802,4.49923622387929,0,5.6827765485503,4.21197551027611,5.0063387786897
"ERR315318",-2.77030171860385,0,0,0,0,-4.79830332891724,-2.51970902858358,0,0,0,-4.36426405779679,0,0,0,0,-2.94577222982734,0,-5.30075939464064,-4.11098632145863,-4.17507818053719,0,0,-2.74739787296505,0,-4.93286956099266,-2.58464695679172,0,4.75863270458213,0,4.47673984879154,5.10222716958642
"ERR315322",0,2.0825397115242,0,-0.840747252595132,0,0,1.69076209478361,0,0,0,4.70358281584962,0,0,0,0,0,0,0,0,0,3.80850644619898,0,-3.62973989231871,0,0,-2.62795335851263,-3.78385272926482,-6.28689391175558,0,-4.55174873686514,0
"ERR315324",0,0,0,0,0,0,0,0,0,0,0,4.21982766579085,0,0,0.0189764305212374,-2.34718032546293,0,0.821991588612731,0,0.178173063905037,0,0,0,0,0,0,0,0,0,0,4.06543557822785
