,D015658
755171__28130_239935,-0.11935327281306188
39492__1735_35833,0.0
726__850_859,0.0
28116__423605,0.107240155862746
28128__46506_137732,0.1500849763903934
28130__239935,0.0
1644106__228604_454154,0.0
853__40519,-0.3476911415994004
28125__228603_487175,0.0
78345__1515_83771,0.0
228604__454154,0.0
204516__386414,0.34834591570604456
40520__357276,-0.21000013366799256
85831__185293,0.0
856__214856,-0.019962218838761796
28111__820_376804,-0.017769264451450117
850__859,-0.1351433839245692
31971__310298,0.058428381809016036
1686__397865,0.027037740473585068
47678__387661,0.2802325400146572
1735__35833,0.09859832729384813
1515__83771,-0.16993878917419405
310514__823_165179,0.0
228603__487175,0.1245748468866935
33033__1297750,0.11807450706908088
328814__28117_218538,-0.043446423281783865
818__187327,-0.1916798366793588
823__165179,-0.5371495503119752
46506__137732,-0.3015727721354543
28117__218538,-0.3067093209975778
820__376804,-0.05409978485256282
