,D006262,D009765,accuracy,macro avg,weighted avg
precision,0.79,0.87,0.82,0.83,0.83
recall,0.88,0.76,0.82,0.82,0.82
f1-score,0.83,0.81,0.82,0.82,0.82
support,718.0,718.0,0.82,1436.0,1436.0
