"","46506__218538","100886__165179_310298","167__363265","165179__310298","552396__626931","1343__328813_487173","371601__821_387090","457395__28111_40545","1624__33043_39490","328813__487173","387661__239935_751585","658089__573_39486","1304__28116_1118060","821__387090","239935__751585","28111__40545","33043__39490","471189__204516_301301","360807__626940","1226323__823_39488","28116__1118060","454155__562_310297","261299__820_28117","1584__384638","214856__1308_47678","33038__454154","158847__40518_166486","573__39486","28118__817_147207","204516__301301","658082__1735_457412","823__39488","1308__47678","820__28117","571__40520_246787","487175__33039_329854","562__310297","1352__1623_46503","40518__166486","817__147207","1735__457412","29348__410072_411489","1531__469588","1351__39491_487174","40520__246787","901__853_39492","33039__329854","1161942__216816_357276","1623__46503","376805__39485_88431","39491__487174","410072__411489","1683__1680_2173","853__39492","216816__357276","39485__88431","376804__45851_74426","1680__2173","45851__74426"
"ERR1297424",5.11453270673795,-2.49266586607898,0,-4.31742392634147,0,0,0,0,0,0,-2.95661890070804,0,0,0,5.12101415464477,0,0,0,0,0,0,-2.96698415857958,0,0,0,0,-2.73645742250479,0,-2.80015252750695,0,0,0,0,0,0,0,5.13896730791183,0,4.73968328852727,-4.85000644658444,0,0,0,-2.93289915300212,0,-2.9207117462669,0,0,0,0,5.0799303464754,0,-2.90959080881939,5.05882113879749,0,0,0,5.03955911011061,0
"ERR1297425",0,-3.61229816423684,0,6.25668395254599,0,0,0,0,0,0,-2.47475143326852,0,0,0,4.28639521852498,0,0,0,0,0,0,0,-2.38947775121193,0,0,0,-1.91357946333071,0,0,0,0,0,0,-4.13869686865449,0,0,0,-2.3886745265274,3.31441685480917,0,0,0,0,-2.81375700476377,0,-3.33818747072426,0,0,4.13730564269099,0,4.87357009240367,0,-2.70524173787242,5.78191030448427,0,0,-2.17372888145363,4.68561613675096,-3.76500886455754
"ERR1297429",0,0,0,0,0,-2.49803902294235,-2.53673846795564,0,0,4.32673050702587,0,0,0,4.39375991201361,0,0,0,0,4.34891586560323,0,0,0,-3.01344480167718,0,0,0,0,0,0,0,0,0,0,5.2194395023092,0,-5.90423938414964,0,0,0,0,0,0,0,-2.61318351086408,0,-2.88923967775497,0.401390081486808,0,0,0,4.52616661031781,0,0,5.00430991711554,0,0,0,0,0
"ERR1297430",0,0,0,0,0,0,0,0,-2.55689061604793,0,0,0,0,0,0,0,-4.42866445639111,0,0,0,0,0,-2.48289062064902,0,0,0,-4.93016237335031,0,0,0,0,0,0,4.30049270460032,-2.41348882591855,0,0,0,-0.135703665716647,0,0,0,0,-3.48099465643604,-4.18028526999069,-3.28626225581071,0,-2.50308580333693,0,0,6.029259605823,0,0,5.69197319406006,4.33547178708392,0,-2.54873001946373,0,-4.41452988848719
"ERR1297431",0,0,0,0,0,0,-2.69532764305545,0,0,0,-2.55743352016541,0,0,4.66844442081692,4.42960479390621,0,0,0,0,0,0,0,-6.0210999516435,0,0,0,-2.64994920184323,0,0,0,0,0,0,-0.0443973324799987,0,0,0,0,4.58984665506907,0,0,0,0,-2.77283774103908,0,-3.03953874579231,0,-2.45921020684671,0,0,4.8026958486242,0,0,5.26463553928646,4.25947702475047,0,-2.75391326878873,0,-4.76991770118017
"ERR1297432",4.50889216321896,-2.4423574303571,0,-4.23028715962187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.60935321419717,0,0,0,-2.62950756650731,0,-2.61305943575496,0,0,0,0,-4.51953234188266,0,0,0,0,4.55444070407747,-4.52595170592485,0,0,0,-3.32867385184845,0,-3.27534014950912,0,-2.61420907383076,0,0,5.76543223322751,0,-2.94469483969895,5.67305555102005,4.52794293748246,0,0,5.10036107514447,0
"ERR1297433",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.93089054375075,0,0,0,5.01154172498165,0,0,-2.77148529637492,0,0,0,0,-5.07645133319947,0,0,0,0,0,0,4.80035334575145,0,0,0,0,-2.98999332421811,0,0,0,-2.84095125804844,0,-2.60300815102846,5.17882035183753,0,-3.28188262205945,0,4.92067192076661,-4.50854237009722,-3.2130640258876,5.68438744588433,-5.56519014080912
"ERR1297434",0,0,0,0,0,0,0,0,0,0,-2.77671617545736,0,0,0,4.80941349409048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.82380749383155,0,0,0,-2.51515680524156,0,0,0,0,0,-4.89097805010998,0,0,-2.92630009570953,4.356379375681,-3.1578100049354,0,-2.53894761318788,0,-2.57714130031658,5.06850044396257,0,0,5.46948736919745,4.39758626379715,-4.46373967043243,-2.94440038144827,0,-5.09985105849359
"ERR1297435",0,0,0,0,0,-2.85108275139647,0,0,0,4.93822018200195,0,0,0,0,0,0,0,-2.61707321505545,0,0,0,0,-2.216898411084,0,0,0,0,0,0,-4.53290377560366,0,0,0,-3.8397806832162,-2.27735338370672,-2.63669766232747,0,0,0,0,0,0,0,-3.15993261543972,3.94449176736894,-2.94275240812158,4.56689431534926,0,0,0,5.47316383843561,0,0,5.09699668496224,0,0,-2.81850153584559,0,-4.88178786129548
"ERR1297436",0,0,0,0,0,-2.51693165110019,-2.52544129451432,0,0,4.35945349888375,0,0,0,4.37419263363132,0,0,0,0,4.34243887635229,0,0,0,-3.02082401098144,0,0,-4.43516526285682,0,0,0,0,0,0,0,5.23222066774386,0,-5.84465758104516,0,0,0,0,0,0,0,-2.68857151351935,0,-2.96270753385183,0.154880477516865,0,0,0,4.65674246119786,0,0,5.13155997659845,0,0,0,0,0
"ERR1297437",0,-3.44791258105643,0,5.97195977044568,0,0,0,0,0,0,-2.24453169212363,0,0,0,3.88764292995668,0,0,0,0,0,0,0,-1.92488182735438,0,0,0,0,0,0,0,0,0,0,-3.33399312354381,0,0,0,-1.72865215169685,0,0,0,0,0,-3.3119359848303,0,-3.44218558035744,0,-2.00158227817342,2.99411335535221,0,5.73644139714175,0,-2.47603857637507,5.96204031426005,3.46684220132583,0,-2.55131232990754,4.28862461578214,-4.41900258137679
"ERR1297438",-5.91448510780938,-3.09649836910428,0,5.36329250084277,0,0,0,0,0,0,-2.91318725549569,0,0,0,-5.04578833848068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.55891981779364,0,0,0,0,0,0,0,-2.28411050757878,0,-3.0684219401344,4.43217913691347,0,0,0,3.95619544922838,0,1.67506868528387,5.31466269937185,0,0,-2.5506324379927,5.42705048303351,-4.41782497403663
"ERR1297439",0,0,0,0,0,-2.37238931680094,-2.7663018876064,0,0,4.10909883203284,0,0,0,4.79137541840798,0,0,0,-2.65490170955252,0,0,0,-2.99543115780601,-3.28372847999518,0,0,0,-2.47721987268274,0,0,4.59842465004643,0,0,0,-5.68758456561257,0,0,5.18823895589488,0,4.29067068100582,0,0,-2.44356277201565,0,-4.91146503892996,0,0,0,0,0,0,0.228863757273571,4.23237487261496,0,0,0,0,0,0,0
"ERR1297440",0,0,0,0,0,0,0,0,0,0,-3.03050246160539,0,0,0,5.24898423596308,0,0,0,-4.94580452695159,0,0,0,-5.2240860081235,0,0,0,0,0,0,0,0,0,0,-0.137731871448432,0,0,0,-2.62948853514375,0,0,0,0,0,-2.61253247856065,0,-3.01277941118273,0,0,4.55440774078884,0,4.52503898929089,0,-2.9848895419402,5.21828701216594,0,0,-2.51842147300384,5.16998034162142,-4.3620339461151
"ERR1297441",-6.25201751599281,-2.25711271714921,0,3.90943390451227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.32513554799873,0,0,0,0,0,0,0,-2.46386242683383,0,-3.17163808140408,4.0272529036183,0,0,0,4.26753490613615,0,2.38952938824936,5.49343830021214,0,0,-2.31533982799035,4.60419816196254,-4.01028621886707
"ERR1297442",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.26578560700073,0,-3.4155760464888,0,0,0,0,0,0,-2.58721985086022,0,0,3.92445579038355,-5.91595124963384,0,-2.60295150072265,0,-3.31723276270204,0,0,4.48119623204067,-2.96241648340701,0,-2.34567813902318,5.74561568553201,4.50844424888928,-3.04396845743518,0,5.13105586244047,-4.06283371499176,0,5.27230802491479,0
"ERR1297443",0,0,0,0,0,0,-2.8209360167576,0,0,0,0,0,0,4.88600450592513,0,0,0,-2.89841769353022,0,-2.6364446596906,0,0,-5.82195682211914,0,0,0,-3.14398878649071,0,0,-5.02020670675095,0,-4.56645610192775,0,0.853974416496133,0,0,0,0,5.44554831662872,0,0,0,0,0,0,0,0,0,0,-2.50907310051658,0,0,-2.89387754098035,0,0,-4.34584208999908,-3.09131216540293,5.01234293186045,-5.35430973253364
"ERR1297444",0,0,0,0,0,0,0,0,0,0,-2.62243832597602,0,0,0,4.54219642030635,0,0,0,-4.83613075940058,0,0,0,-2.34927763446047,0,0,0,0,0,0,0,0,0,0,-4.06906822397077,0,0,0,-2.49553793717836,0,0,0,0,0,-2.28028083959495,0,-3.50847515673518,0,-2.29594675407939,4.32239849940855,0,3.94956226970428,0,-3.13508385024807,6.0768572285585,3.97669642953835,0,-2.62751045277972,5.43012451461831,-4.55098160163278
"ERR1297445",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.29649738613854,-2.65803054563881,0,0,0,-2.49387549152827,0,0,0,0,0,0,-4.60384395311645,0,-2.72720413224647,3.97765015224108,0,4.31951905907778,0,0,0,0,0,0,-2.68950389499771,4.72365611966267,-3.1027555100736,0,0,0,0,-3.21423515473376,4.65835739329043,5.37413018691176,0,-3.36335230934812,5.56721859547289,-5.82549708354506
"ERR1297446",0,0,0,0,0,-2.70474137996796,-2.26381065225727,0,0,4.68474949143847,-3.6659496797704,0,0,3.92103506842523,6.34961110335319,0,0,0,0,0,0,0,-2.50861139609897,3.91670904369739,0,0,0,0,0,0,0,0,0,4.34504239448971,-2.18503258792823,0,0,0,0,0,0,0,0,-2.96880486762699,3.78458745848541,-2.94780007758651,0,0,0,0,5.14212086848775,0,0,5.10573950493532,0,0,-2.23455550704414,0,-3.87036367053328
"ERR1297447",5.06997144051225,-2.49795608413851,0,-4.32658685280369,0,0,0,0,0,0,-2.95233211046742,0,0,0,5.11358921614662,0,0,0,0,0,0,-2.85390891762269,0,0,0,0,-2.70491794894505,0,-2.7436650022916,0,0,0,0,0,0,0,4.94311524549641,0,4.68505531787782,-4.75216718291763,0,0,0,-2.93453748458123,0,-2.945228120101,0,0,0,0,5.08276802001005,0,-2.91187427390043,5.1012847438955,0,0,0,5.04351418764828,0
"ERR1297448",0,0,0,0,0,-2.42729325674874,0,0,-2.55781216879327,4.20419524555815,0,0,0,0,0,0,-4.43026063256789,0,0,0,0,0,-2.46975302811848,0,0,0,-4.86956470780806,0,0,0,0,0,0,4.27773772684829,0,0,0,0,0.0521022309451977,0,0,0,0,-3.4252042719514,0,-3.31876665045918,0,-2.56800763159792,0,0,5.93262782532179,0,0,5.74827245706049,4.44791969215222,0,-2.53733393196031,0,-4.39479128592376
"ERR1297449",0,0,0,0,0,0,0,0,0,0,0,-2.35370871678955,0,0,0,0,0,-2.70427210170237,0,0,0,0,-2.72039855118082,0,0,0,0,-4.07674308369725,0,-4.68393667763958,0,0,0,-4.71186850748195,-2.70720393908293,0,0,0,0,0,0,0,0,-2.78528920805535,4.68901476894224,-3.16256570276009,0,-2.42382847572326,0,0,4.82426242212515,0,0,5.47772447945524,4.19819406878492,0,-3.06029530106766,0,-5.30058694761348
"ERR1297450",0,0,0,0,0,0,0,0,0,0,-3.01695725629375,0,0,0,5.22552325216437,0,0,0,-5.0300597979638,0,0,0,-5.19071612067186,0,0,0,0,0,0,0,0,0,0,-0.0654062870825396,0,0,0,-2.6232538281398,0,0,0,0,0,-2.53014827868955,0,-2.983790016637,0,0,4.54360891148769,0,4.38234536937323,0,-3.02438424391327,5.16807590793207,0,0,-2.43952785896373,5.23838717206857,-4.2253861982049
"ERR1297451",0,0,0,0,0,0,-2.90189509813409,0,0,0,0,0,0,5.02622974820331,0,0,0,-2.70077012529669,0,-2.59583368534023,0,0,-5.7699970159538,0,0,0,-5.80909017970604,0,0,4.67787107657803,0,-4.49611583100804,0,-0.02148528733986,0,0,0,0,-0.438575186213818,0,0,0,0,-2.73155754830819,0,-2.85491411662335,0,0,0,0,4.73119645746807,0,0,4.94485630123727,0,0,0,0,0
"ERR1297452",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.43459623879403,-4.89680791961251,0,0,-2.81467444137752,0,0,0,0,0,0,0,-4.21684438150735,0,0,0,0,-2.65028536975655,0,4.87515913923142,-3.08852660573153,0,0,0,0,0,0,4.59042891497482,-2.88962227062672,0,0,5.34948500165526,0,0,0,-3.03713232173999,5.00497258740802,0,0,-2.55599096423572,5.26046749056329,-4.42710621374324
"ERR1297453",0,-2.42176772761488,0,4.1946247483596,0,0,0,0,0,0,-2.30004840333015,0,0,0,3.9838006944355,0,0,-2.36229233495244,0,0,0,0,-2.46918973269905,0,0,0,-2.99722521409147,0,0,4.09161034646814,0,0,0,-4.27676207056217,0,0,0,0,5.19134635253294,0,0,0,0,-3.50236464305187,0,-3.08722623806752,0,0,0,-2.2937367689083,6.06627350839868,0,0,5.34723269879268,0,-3.97286862293805,-2.56844058627585,0,-4.44866959165176
"ERR1297454",-6.28615788575741,-2.28919990414912,0,3.96501054266808,0,0,-2.2147904925153,0,0,0,0,0,0,3.836129661157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.48820342994982,0,-3.10949043275487,0,0,0,0,4.30969476024024,0,2.27170322307541,5.38579541518077,0,0,-2.29273241702655,4.5953629545565,-3.97112903445019
"ERR1297455",-5.77591047409689,-3.30476307148398,0,5.72401754678764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.59762128753651,0,0,0,0,0,0,0,0,0,0,-4.49921204883572,0,-2.35122103954473,0,0,0,0,0,0,0,0,0,-3.0005445053936,4.07243430031638,0,0,-2.52226506685685,0,0,2.50319643085466,5.19709553371335,0,-4.36869124595218,-2.63614715646517,4.79027261878072,-4.56594081122591
