,D002446,D006262,accuracy,macro avg,weighted avg
precision,0.77,0.79,0.78,0.78,0.78
recall,0.63,0.88,0.78,0.75,0.78
f1-score,0.69,0.83,0.78,0.76,0.78
support,118.0,186.0,0.78,304.0,304.0
