,D006262,D008171,accuracy,macro avg,weighted avg
precision,0.61,0.62,0.61,0.61,0.61
recall,0.63,0.59,0.61,0.61,0.61
f1-score,0.62,0.61,0.61,0.61,0.61
support,1170.0,1170.0,0.61,2340.0,2340.0
