,D006262,D008171,accuracy,macro avg,weighted avg
precision,0.76,0.74,0.75,0.75,0.75
recall,0.74,0.76,0.75,0.75,0.75
f1-score,0.75,0.75,0.75,0.75,0.75
support,187.0,187.0,0.75,374.0,374.0
