,D006262,D015179,accuracy,macro avg,weighted avg
precision,0.86,0.97,0.91,0.91,0.91
recall,0.97,0.84,0.91,0.91,0.91
f1-score,0.91,0.9,0.91,0.91,0.91
support,629.0,629.0,0.91,1258.0,1258.0
