"","28447__1492_1547","197614__40519_387661","729__726_735","572010__196024_633415","1532__2173","28111__487175","149015__840_1352","1492__1547","40519__387661","70856__52226_301302","28901__818_84030","441501__905_36847","264027__589537","283734__1245_1622","1018__2145_76122","281920__1512_28118","43131__1487956","33029__1313_69710","332163__363832","1015__1071862","99675__219748","553__204038","265291__33035_37915","726__735","52584__159_84377","1245__1622","93063__1280_33011","1313__69710","28134__53418","159__84377","288769__294710","1604__13076","1596__1833","61635__536633_626935","840__1352","1605__87650","103892__156974_360807","818__84030","52226__301302","106654__34059_48296","45254__108980","905__36847","294__1393_1661032","483__43675","1522__28130","41276__288000","28133__417948","196024__633415","1737__29367","1144661__1260_246787","1598__421_520083","1328__1338","428712__28123_33033","119854__143361","316__470","29321__59803","33031__36874","34059__48296","376804__33051_225004","1512__28118","358742__850_84026","644__623_1541","2145__76122","28124__150240","118748__137732","2098__46124","114527__467210","49319__166486_454155","539__1358_208479","856__821_351091","28113__859_1379","1280__33011","28131__53419","329__1267_1630","1260__246787","850__84026","291645__1755604","1335__454154_626937","156974__360807","421__520083","216945__147207_371601","1685__47770_84112","28123__33033","54006__287_39484","39950__28116_39496","623__1541","41976__76759_330920","654__28026_165179","33959__204516_216816","1358__208479","450367__33039_234908","36835__817_1535","1686__762212","166486__454155","191610__29385_39483","38286__29363_633701","147207__371601","454154__626937","859__1379","47770__84112","158__851_860","36745__1343_1559","1488215__310297_762210","228604__239935_329854","225324__1282_39497","28116__39496","535744__861_1510","584__31971","1681__1680_78345","76759__330920","573__1507_40518","288965__901_1515","821__351091","28026__165179","354356__305_69825","33932__84031_237258","204516__216816","287__39484","46223__29375_308994","33039__234908","28090__1265_387090","477666__47678_214856","1689__228603_397865","44749__309120","1393__1661032","817__1535","29385__39483","310297__762210","328814__820_187327","851__860","52770__907_38304","29363__633701","300__39490_88431","1282__39497","29375__308994","861__1510","386414__28037_1161942","97478__179628","84031__237258","645466__1623_39778","384638__1303_1308","239935__329854","38986__1354_349096","1529__1735_158847","33034__39492_357276","28025__563_574375","28125__301301_626931","1343__1559","638849__45851_328813","901__1515","305__69825","1265__387090","1590__853_74426","1502__33038","228603__397865","47678__214856","820__187327","907__38304","28037__1161942","28137__39777_341225","1623__39778","2724__28117_39485","1735__158847","96344__261299_310298","39492__357276","1680__78345","45851__328813","189722__46503_410072","158787__29466_33043","853__74426","1307__46506_218538","1303__1308","39486__39488_39491","261299__310298","1354__349096","28117__39485","39777__341225","33035__37915","29389__90742_1297750","46503__410072","563__574375","29348__40520_89014","1267__1630","29466__33043","179995__562_13689","301301__626931","1304__1747_1755626","46506__218538","90742__1297750","39490__88431","562__13689","33051__225004","1507__40518","536633__626935","40520__89014","1747__1755626","39488__39491"
"ERR475468",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.41242935273605,0,0,0,0,0,0,0,0,0,0,-2.61790906599125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.06200794020308,0,4.53435151189202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.47494307910437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28672715884973,0,0,0,0,-2.51742733838475,0,0,0,0,0,0,0,0,-2.40234556800294,0,0,0,0,-4.36031205444528,0,0,0,0,0,0,0,0,-4.82544829403985,0,-2.74441559093463,-4.160984581119,0,0,0.148317564750492,4.17845020860933,-5.30355332561105,0,0,-4.75346724058294,0
"ERR475469",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.40089299338623,0,0,0,0,0,0,0,0,0,0,-5.32330508803334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5432121367201,0,-0.671297634986652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.78658391536622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7222126838626,0,0,4.8265049209685,0,0,0,0,0,0,0,0,0,0,-4.71501067745845,0,0,0,0,0,-2.38750759775693,0,0,0,0,-2.63378768450386,0,0,0,0,4.15846864808108,-4.40497263522503,0,4.13528446277172,-4.56185408590987,0
"ERR475470",0,0,0,0,0,0,0,0,0,0,0,-2.73333888697163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73428182653863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.50596205566094,0,0,0,0,0,0,0,0,0,0,-5.34586247138597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.71372511234018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.645303545531582,-4.70030977234876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.64821745990716,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5868471900502,0,0,0,0,0,0,0,0,-2.46251575796848,0,-2.74628863869194,0,0,0,-4.26520240724039,4.34045360224449,0,0,0,-4.7567114544636,0
"ERR475471",0,0,0,0,0,4.61703146892364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.72189085473724,0,0,0,0,0,0,0,-2.58828048750237,0,0,0,0,0,0,0,0,0,0,-2.67700760813864,0,0,0,0,0,0,0,0,4.48303330859324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03547441594001,0,-2.41275134938874,0,4.63671318954456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.80149386618574,0,-4.17900792317167,0,0,0,0,0,0,0,0,0,0,-2.41150454397885,0,0,0,0,4.85232971332627,0,0,0,0,0,0,0,0,-4.17684839285459,0,0,0,0,0,0,0,0,0,0,-2.8840891801314,0,0,0,0,0,0,0,0,-4.99538899354726,0
"ERR475473",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.67825730518259,0,0,0,0,0,0,0,0,0,0,-2.84199865222792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.74654509850837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.17707995180652,0,4.92248606070103,0,-2.46042847006539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.75715565589577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.26158711854222,0,0,0,0,0,0,0,0,0,0,-2.77618273359832,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.80848954568775,0,0,-2.62537914511364,0,0,0,0,0,-2.6496078961082,0,-3.18093251052194,0,4.54729006846856,0,-4.58925549619507,4.63887772831875,-5.50286389623737,0,0,-5.50953672367162,0
"ERR475474",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.80241417262896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.42814887093641,0,0,-2.68555487476102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.85392373084445,0,0,0,4.20567721280287,0,0,0,-2.55044581593782,0,0,0,0,-4.65151748960036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41750173515577,0,0,0,0,0,0,0,0,0,-2.552145127043,0,0,0,0,0,0,0,0,0,0,-2.40390090774666,0,0,-4.4204450283278,0,0,0,0,0,-2.65477460971427,0,0,0,0,2.77751500779715,0,0,0,0,0,0,0,4.59820450666895,-5.00126936603285,4.16367850857816
"ERR475476",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.28788440619373,0,0,0,0,0,0,0,0,0,0,-2.94247249220934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.42497431596057,0,0,0,-2.37812684278285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.76279119369686,0,5.09651185638039,-5.93222952986216,0,0,0,0,0,0,0,0,0,0,0,4.11903651854326,0,0,-2.4272557458692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.20413027480894,0,0,0,0,-2.36543353933949,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.09705107206347,0,0,0,0,0,0,0,0,-2.26809757162106,0,-2.88637702310298,0,0,0,-3.92846023057127,3.96273203337209,-4.78529471818683,0,0,-4.99935165381377,0
"ERR475477",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.41322961614994,0,0,0,0,0,0,0,0,0,0,-2.85094357179167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.47387268098637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28487317492503,0,0,0,0,-2.65242103753866,0,4.93797911585506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.58210975771708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4215523449822,0,-2.62370245848734,0,0,0,0,0,0,0,4.47234529108534,0,0,0,0,-2.71379517774321,0,0,0,0,4.54438596204345,0,0,0,0,0,0,0,0,-4.70043112918666,0,0,0,0,0,0,0,0,0,4.19425169469674,-2.74870469114716,0,0,0,0,4.17983630550163,-4.59412800008151,0,0,-4.76089618006981,0
"ERR475478",0,0,0,0,-4.34229640094269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.37199327245091,0,0,0,0,0,0,0,0,0,0,-2.62994533568855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.49162122330465,0,0,0,0,0,0,-2.66968856993678,0,-4.55519894254135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.46973909387738,0,0,0,0,0,0,0,0,0,0,0,0,4.31561455198058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27771359203475,0,0,0,0,0,0,0,0,0,0,0,-2.77393774094834,0,-2.59492324882276,0,0,0,0,0,0,0,0,0,0,0,0,-4.80460110435537,0,0,-3.08498097173709,-4.49453890870272,0,0,0,4.10841286309655,-4.62403624351641,0,0,-5.34334378343185,0
"ERR475480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.76250642409232,0,-2.58456219842772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.47659304299872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.8084314141544,0,0,0,0,0,0,0,-3.42278375444177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.86434589888793,0,0,-2.77849123817743,0,0,0,0,0,0,4.25519634094683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81248799290827,0,0,0,0,0,0,0,0,0,0,4.64861224862584,0,0,0,0,0,0,0,0,0,-2.67257445749998,0,0,0,0,0,-2.72841855434777,0,0,0,4.62903474740079,0,-4.72575956044396,4.78480148276332,-5.9284353660145,0,0,0,0
