,D005891,D006262,accuracy,macro avg,weighted avg
precision,0.71,0.33,0.6,0.52,0.6
recall,0.71,0.33,0.6,0.52,0.6
f1-score,0.71,0.33,0.6,0.52,0.6
support,7.0,3.0,0.6,10.0,10.0
