,D005891,D006262,accuracy,macro avg,weighted avg
precision,0.78,1.0,0.8,0.89,0.84
recall,1.0,0.33,0.8,0.67,0.8
f1-score,0.88,0.5,0.8,0.69,0.76
support,7.0,3.0,0.8,10.0,10.0
