"","371601__46506_204516","165179__179995_1465754","483__1018_1303","36847__47678_387661","214856__28111_28124","860__425941","488__851_41976","47678__387661","328814__39485_310298","28117__820_46503","122355__43131_185300","820__46503","179995__1465754","818__29552","46506__204516","28112__76122","204__824","28111__28124","584__1755626","1515__33043","821__28116","851__41976","39485__310298","33033__40518","43131__185300","1018__1303"
"SRR5942082",-2.16237908252377,0,0,1.24916880562123,0,0,0,-0.818973217593509,0,-2.97269539337238,0,5.14885945674692,0,0,-0.487885511868413,0,0,0,0,0,-4.67912423625655,0,0,0,0,0
"SRR5942087",0,0,-2.45097322341021,0,-2.54181734902027,0,-3.73472189907521,0,0,0,-2.70598752188545,0,0,0,0,-0.214476777210762,0.00619497329582876,-4.40255679206315,0,0,0,6.46872808133839,0,4.63427873485403,-4.68690787255299,4.24521015093735
"SRR5942088",-5.34769077448651,1.87457187645985,0,0,0,0,0,0,0,0.467187582914205,0,-0.396816134234006,-5.74414040040686,-4.97365623787667,-0.98375772959273,0,0,0,0,4.50392514632143,0,0,0,0,0,0
"SRR5942091",-5.37070248690036,-0.419649546015618,0,0,0,0,0,0,0,0.330648112171541,0,-0.55482965791168,-1.36225581379686,0,-1.38485612800627,0,0,0,0,0,-4.07061868067876,0,0,0,0,0
"SRR5942093",0,0,-0.257378321073079,0,0,0.0977499686853469,-0.624160395439015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.815569624545651,0,0,0,-1.36655626109701
"SRR5942107",-2.95613816223818,0,0,0,0,0,0,0,1.45396416892117,0.403357036454425,0,0.171882543492391,0,0,5.12018149118981,0,0,0,-4.31495765530439,0,-0.198741775177899,0,-6.00912919835781,0,0,0
"SRR5942113",-3.45795734000269,0,0,0,0,0,0,0,0,2.20586328285976,3.66078926405589,4.71845771817865,0,0,-5.98935780329038,0,0,0,0.0934678736274548,0,-4.36925803761784,0,0,-4.54278953696494,4.40766551211481,0
"SRR5942115",0,0,0,0,2.04306253497118,0,0,0,4.67832104338501,1.33698898105507,0,1.18422623961703,0,-0.849743884396094,0,0,0,3.42418142522722,0,-3.23667060946437,0,0,0,0,0,0
"SRR5942116",-5.87993502156369,0,0,0,0,0,0,0,0,2.28650707427504,3.67033660946297,4.80673527306239,0,0,-1.94344828916568,0,0,0,0,0,-4.48343317870906,0,0,-4.34898973519768,4.46999760236307,0
"SRR5942124",0,5.40748600984525,0,0,0,0,0,0,-0.524662630822275,0.128050166261631,0,-0.0602646735805303,0,0,0,0,0,0,0,0,0,0,1.12418595980734,0,0,0
