,D003015,D006262,accuracy,macro avg,weighted avg
precision,0.96,0.99,0.98,0.97,0.98
recall,0.98,0.97,0.98,0.98,0.98
f1-score,0.97,0.98,0.98,0.98,0.98
support,123.0,187.0,0.98,310.0,310.0
