"","33039__820_821","550__46503","29382__218538_239935","40545__338188_487174","1735__216816_387090","411489__40518_363265","218538__239935","820__821","1582__74426_204516","1351__571_37734","338188__487174","1363__329_1747","1078764__287_166486","40518__363265","216816__387090","74426__204516","287__166486","457412__584_28116","46228__310297","54291__384638","1282__291644_751585","147802__546_165179","28126__371601_1118061","548__28111_39492","1260__45851_674529","40519__100886","584__28116","33043__46506_357276","296__1318","301301__328812","546__165179","571__37734","322095__39485_328814","28125__573_360807","329__1747","626932__626940","28111__39492","1613__1680","371601__1118061","40214__33035_292800","626933__47678_246787","582__88431","1502__40324","33945__1354_28118","45851__674529","469610__28123_501496","1288121__28117_328813","46506__357276","291644__751585","658086__214856_552398","457394__43765_154046","1689__33038_39488","28130__116085","2173__1535_908612","1632__658081","840__1596","1681__169435_208479","1535__908612","291645__665951","573__360807","39485__328814","47678__246787","1286__562_817","29361__454155","28117__328813","1352__1353","1354__28118","33035__292800","28123__501496","39777__624_1531","47715__1512_147207","214856__552398","729__40520","39486__823_39491","562__817","43765__154046","626930__818_853","29466__36834","33038__39488","823__39491","169435__208479","624__1531","818__853","1512__147207"
"ERR2238738",0,5.31502047464637,0,0,0,0,0,0,0,-2.80337490603796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.85558776992138,0,-2.64730399429232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58526502119433,0,0,0.847940053316741,0,0,0,0,0,0,0,0,0,0,0,6.61766394856121,0,0,0,0,0,0,0,0,0
"ERR2238745",0,0,0,0,0,0,0,0,0,0,0,-2.64118006423073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57465806318566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.91844131844737,0,0,0,0,0,0,0,0,0,0,0,6.78693945002802,0,0,0,0,0,0,0,0,0
"ERR2238748",0,0,0,0,0,0,0,0,0,0,0,-5.57903985938614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.09132796180445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.34051688303781,0,0,0,0,0,0,0,0,0,0,0,4.05389415739422,0,0,0,0,0,0,0,0,0
"ERR2238754",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7426972088973,0,0,0,0,0,0,0,0,0,0,0,1.28638930044972,0,0,0,0,0,0,0,0,0
"ERR2238756",0,0,0,0,0,0,0,0,0,4.35023872560475,0,-1.47959304150352,0,0,0,0,0,0,0,4.00830474543971,0,-2.3021882703271,0,0,0,0,0,0,0,0,3.98750705279565,0,0,-2.35071465475076,2.56273032240947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07155721612505,0,0,-3.83760157189535,0,0,0,0,0,0,0,0,0,0,0,6.64692090172893,0,0,0,0,0,0,0,0,0
"ERR2238757",0,0,0,0,0,0,0,0,0,0,0,-3.17194747921073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49397419293302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239132",-2.96166172600263,0,-2.49026114809923,-2.58876907671601,0,0,-4.31325883262268,5.12974858426869,5.07845171271063,0,-4.48387956993531,0,6.77960630995613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.61813116808994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.53473620401143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.63095709502721,0,0,-5.35231279767579,0,0,4.55695136112095,0,0,-0.405795957236417,0
"ERR2239172",-5.13261060570954,0,-2.64822168356366,0,0,0,4.58685450563784,-0.316219022245087,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.83711616902925,0,0,0,0,0,0,0,0,-0.472191396089062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.690088971282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.39556471333887,0,4.65937077514113,0,0,0,0,0,0,0,0,-2.3943490469674,5.88129060389098,0,-2.64799678790685,0,0,-4.14713420040165,0,0,-4.58646497493385,0
"ERR2239212",-5.3117623104706,0,-2.34364333831733,0,0,0,-4.05930933678596,-0.135462023702277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09464363447837,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.56963281841076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.71533074779912,0,0,0,0,0,0,0,0,0,0,-4.71576585052995,6.43514162211095,0,-2.12106929768419,0,0,-0.985184984279156,0,0,3.67379978996346,0
"ERR2239217",-3.18449853475603,0,-1.6913692506427,0,0,0,-2.92953747647286,5.51571325882608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.32369260564233,0,0,0,-3.67779342727789,0,0,0,0,0,0,0,0,-5.7568044617135,0,0,0,0,0,0,0,0,0,0,-6.37012507578817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239222",-2.4572449060035,0,0,0,0,0,0,4.25607302383788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.33110179183771,-3.12997303783376,0,0,0,0,0,0,0,0,-2.36250967856458,-4.67547051103917,0,0,-5.42127232784877,0,-4.03758674107776,0,-2.46524596770806,0,0,0,0,0,-2.326398071362,0,0,0,0,0,0,0,0,0,0,0,0,0.413400846804744,-4.09198679664706,-4.26993126922466,-3.51958741920648,0,4.02943965822923,0,0,0,0,0,0,0,0,0,6.09610423174584,0,0,0,0,0,0,0,0,0
"ERR2239227",-5.58984894263656,0,0,0,0,0,0,0.0876257193469387,0,0,0,0,0,0,0,0,0,-3.25726472549481,0,0,0,0,0,-2.85530353838848,-2.48648805522545,0,-5.64174799825891,0,0,0,0,0,-2.47527217698109,0,0,0,-4.94553079952004,0,0,0,0,0,0,0,4.3067236440636,0,-2.73778753352834,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28729717309288,0,0,0,4.74198710839977,0,0,0,0,0,0,0,0,-3.12090094266089,0,0,-3.27361709097308,0,0,-5.40555899807826,0,0,-5.6700711260912,0
"ERR2239230",-5.45254799737146,-4.12519391799252,0,0,0,0,0,0.205729457514671,0,0,0,0,0,0,0,0,0,0,0,0,-3.00873219273582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.56526117577011,0,-5.21127702418656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44316269111771,0,0,0,0,0,0,0,0,-3.05396596478495,0,0,-6.10660141448294,0,0,-5.28962421559364,0,0,-1.24192258263682,0
