,D006262,D015658,accuracy,macro avg,weighted avg
precision,0.0,0.71,0.71,0.35,0.5
recall,0.0,1.0,0.71,0.5,0.71
f1-score,0.0,0.83,0.71,0.41,0.58
support,5.0,12.0,0.71,17.0,17.0
