,D006262,D006515,accuracy,macro avg,weighted avg
precision,0.9,1.0,0.94,0.95,0.95
recall,1.0,0.88,0.94,0.94,0.94
f1-score,0.95,0.94,0.94,0.94,0.94
support,69.0,69.0,0.94,138.0,138.0
