"","Part","BalanceID","Component","Group","d.group"
"4","1","818__40519_387090","818","818__40519_3870901","p__FCB group"
"34","-1","818__40519_387090","40519","818__40519_387090-1","p__Terrabacteria group"
"64","-1","818__40519_387090","387090","818__40519_387090-1","p__FCB group"
"82","1","821__856","821","821__8561","p__FCB group"
"87","-1","821__856","856","821__856-1","p__Fusobacteria"
"170","-1","45851__1605_40518","1605","45851__1605_40518-1","p__Terrabacteria group"
"185","-1","45851__1605_40518","40518","45851__1605_40518-1","p__Terrabacteria group"
"188","1","45851__1605_40518","45851","45851__1605_405181","p__Terrabacteria group"
"233","-1","1304__820_328813","820","1304__820_328813-1","p__FCB group"
"243","1","1304__820_328813","1304","1304__820_3288131","p__Terrabacteria group"
"285","-1","1304__820_328813","328813","1304__820_328813-1","p__FCB group"
"314","-1","1735__853_165179","853","1735__853_165179-1","p__Terrabacteria group"
"323","1","1735__853_165179","1735","1735__853_1651791","p__Terrabacteria group"
"348","-1","1735__853_165179","165179","1735__853_165179-1","p__FCB group"
"434","1","309120__397865","309120","309120__3978651","p__Terrabacteria group"
"446","-1","309120__397865","397865","309120__397865-1","p__FCB group"
"458","1","729__1502","729","729__15021","p__Proteobacteria"
"472","-1","729__1502","1502","729__1502-1","p__Terrabacteria group"
"541","1","850__1515_84026","850","850__1515_840261","p__Fusobacteria"
"549","-1","850__1515_84026","1515","850__1515_84026-1","p__Terrabacteria group"
"574","-1","850__1515_84026","84026","850__1515_84026-1","p__Terrabacteria group"
"613","1","820__328813","820","820__3288131","p__FCB group"
"665","-1","820__328813","328813","820__328813-1","p__FCB group"
"708","1","28125__28136","28125","28125__281361","p__FCB group"
"709","-1","28125__28136","28136","28125__28136-1","p__FCB group"
"797","1","46503__454155","46503","46503__4541551","p__FCB group"
"829","-1","46503__454155","454155","46503__454155-1","p__FCB group"
"881","1","189722__228603","189722","189722__2286031","p__FCB group"
"884","-1","189722__228603","228603","189722__228603-1","p__FCB group"
