,D006262,D007674,accuracy,macro avg,weighted avg
precision,0.79,0.74,0.77,0.76,0.77
recall,0.87,0.62,0.77,0.74,0.77
f1-score,0.82,0.67,0.77,0.75,0.77
support,1170.0,723.0,0.77,1893.0,1893.0
