,D003093,D006262,accuracy,macro avg,weighted avg
precision,0.95,0.89,0.92,0.92,0.92
recall,0.88,0.95,0.92,0.92,0.92
f1-score,0.92,0.92,0.92,0.92,0.92
support,723.0,723.0,0.92,1446.0,1446.0
