,D003922,D006262,accuracy,macro avg,weighted avg
precision,0.71,0.64,0.67,0.68,0.68
recall,0.58,0.76,0.67,0.67,0.67
f1-score,0.64,0.7,0.67,0.67,0.67
support,38.0,38.0,0.67,76.0,76.0
