,D001249,D006262,accuracy,macro avg,weighted avg
precision,0.98,0.93,0.95,0.96,0.96
recall,0.92,0.99,0.95,0.95,0.95
f1-score,0.95,0.95,0.95,0.95,0.95
support,872.0,872.0,0.95,1744.0,1744.0
