,D006262,D015209,accuracy,macro avg,weighted avg
precision,0.94,0.95,0.94,0.95,0.94
recall,0.97,0.91,0.94,0.94,0.94
f1-score,0.95,0.93,0.94,0.94,0.94
support,31.0,23.0,0.94,54.0,54.0
