"","584__821","46503__28111_28117","674529__296_310297","1351__166486_360807","37734__46228_74426","384638__39492_204516","40518__1260_147802","33043__328814","310298__165179_218538","28111__28117","301301__820_751585","88431__216816","39492__204516","29361__1582_658081","296__310297","1282__29382_291644","40519__303_626932","548__363265_1118061","820__751585","166486__360807","411489__39485_246787","1747__562_328813","165179__218538","39488__546_571","46228__74426","291645__552398_1070699","1260__147802","40214__40324","582__1304_487173","665951__28116_100886","1352__47770","562__328813","116085__729_371601","363265__1118061","1735__818_626940","1363__1358_387661","39485__246787","28126__626929_626930","39486__410072","29382__291644","40520__40545_329854","28116__100886","546__571","154046__287_47678","823__1078764","28026__550_54291","818__626940","729__371601","552398__1070699","316__43765","624__35833","1353__2173","1358__387661","39490__158836","39496__33039_338188","303__626932","1582__658081","454155__853_239935","1304__487173","545__501496","214856__39491_357276","40545__329854","626929__626930","569__1283_469613","287__47678","1512__329_33038","550__54291","1396__387090_487174","33039__338188","39491__357276","853__239935","1318__658086","1283__469613","658082__817_45851","329__33038","387090__487174","817__45851"
"ERR2238695",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.84718888871532,0,0,0,0,0,0,0,0,0,6.66352662156938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.26934456818938,0,0,0,0,0,0,0,0,5.66267089955334,0,0,0,0
"ERR2238700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.62446121686092,0,0,0,0,0,0,0,0,0,4.54570017009716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238705",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.93415681059866,0,0,0,0,0,0,0,0,0,6.8141594809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238707",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.78919048709458,0,0,0,0,0,0,0,0,0,6.56307044320447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71222873368888,0,0,0,0,0,0,0,0,0
"ERR2238712",5.64334400386981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.84750512968018,0,0,0,0,0,0,0,0,0,6.66407436698796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29800457678963,0,0,0,0,0
"ERR2238715",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.73727185248348,0,0,0,0,0,0,0,0,0,6.47314473019844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.661262905283576,0,0,0,0,0,0,0,0,1.14534094911176,0,0
"ERR2238721",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.93324716900818,0,0,0,0,0,0,0,0,0,6.81258393544863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238738",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.82071298134638,0,-2.80337782527604,0,0,0,0,0,0,0,6.61766900482988,0,0,0,0,0,0,0,0,0,0,-4.85559282619005,0,0,-3.06863142102354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31502553091505,0,0,0,0,0,0,0,0,0,0
"ERR2238745",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.91844423769114,0,0,0,0,0,0,0,0,0,6.78694450630656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.64118298347451,0,0,0,0,0,0,0,0,4.5746631194642,0,0
"ERR2238748",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4459546573018,0,0,0,0,0,0,0,0,0,4.05389921366947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.18580846807915,0,0,0,0,0,0,0,0,3.78593132232738,0,0
"ERR2238754",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.742700128141073,0,0,0,0,0,0,0,0,0,1.28639435672826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.93469836806886,0,0,0,0,0,0,0,0,6.81509748595362,0,0,0,0
"ERR2238756",0,0,0,4.35024456407712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.83760449113153,0,-2.30219118956329,0,0,0,0,0,0,0,6.64692595799432,0,0,0,0,0,0,0,0,0,0,3.98751210906104,0,0,-2.31419874300986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.47959596073971,-4.0083098017051,0,0,0,0,0,0,0,2.56273537867486,0,0
"ERR2238757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.17195039845641,0,0,0,0,0,0,0,0,5.49397924921484,0,0
"ERR2239132",0,0,0,0,0,0,0,0,0,0,-2.96166464523312,0,0,-2.53922877558581,0,0,0,0,5.12975364052422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.55901611549513,0,0,0,0,0,0,0,0,0,-1.31435993095833,0,4.43234592942511,0,0,0,0,0,0,0,0,0,4.39807325135553,-5.28356658797136,0,0,-2.61813408732043,0,0,0,0,0,0,-2.5887719959465,0,-4.53474126026696,0.524877997783328,0,0,0,0,-4.48388462619084,0
"ERR2239172",-4.60308573965597,-2.69009189051249,0,0,0,0,0,0,-5.70309552135979,-4.65937583139665,-2.47502365327722,0,0,0,0,0,0,0,4.28686671741088,0,0,-3.39556763256936,0.704332079626922,-2.78225108892459,0,0,0,0,0,0,0,5.88129566014651,0,0,0,0,0,0,0,0,0,0,4.81900024543123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.64799970713734,0,0,-2.39435196619789,0,0,0,0,0,0,0,0,4.14713925665718,4.58647003118938,0,0,0,0,0,0
"ERR2239206",0,-1.8563518920425,0,0,0,0,0,0,0,-3.21529579374423,-2.0038735073261,0,0,0,0,0,0,0,3.47081072663005,0,0,-2.35358139642783,0,0,0,0,0,0,0,0,0,4.0765225583619,0,0,0,0,0,0,0,0,0,0,0,-2.39417909328424,0,0,0,0,0,0,0,0,0,0,-2.06330445515614,0,0,-3.81306408334515,0,0,-2.67441875818225,0,0,0,-4.14683983198748,0,0,-2.54164567670912,3.57374814781366,-4.63222916988691,-6.60442072486985,-3.23856387745424,0,0,0,-4.40225944689797,0
"ERR2239210",-5.64572690110948,-2.37755420958195,0,0,-2.3934850830659,0,0,0,0,-4.11804468874519,-3.32189859611994,0,0,0,0,0,0,0,5.75369714607146,0,0,0,0,0,4.14563777102836,0,0,0,0,0,0,0,0,0,0,0,0,-2.46336485356465,0,0,0,0,0,-2.62630049799211,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.85761985633118,0,0,-2.83948473817359,0,4.26667308395344,0,-4.54888589846577,0,0,-2.79034592053788,0,-4.91813183383307,4.94954277988327,0,0,0,0,-4.83302090506415,0
"ERR2239212",-4.66785716783893,0,0,0,0,0,0,0,0,0,-2.61677955654105,0,0,0,0,0,0,4.09464947293935,4.53239514413665,0,0,-3.71533366702961,0,0,0,0,0,0,0,0,0,6.43514667836648,0,0,-2.12107221691468,0,0,0,0,0,0,0,0,0,3.59138558897402,0,3.67380484621899,0,0,0,0,0,0,0,0,0,0,-2.34364625754782,0,0,-2.64228425243304,0,0,0,0,0,0,0,0,4.57657057325317,-4.05931439304149,0,0,0,0,0,0
"ERR2239217",0,0,0,0,0,-3.32369552488231,0,0,0,0,-3.184501453996,0,5.75680951798546,0,0,0,0,0,5.51571831509804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.69137216988268,0,0,-3.67779634651786,0,0,0,0,0,0,0,0,-6.37013013206013,-2.92954253274482,0,0,0,0,0,0
"ERR2239222",0,-2.32640099059249,0,-2.21839962965711,0,-3.12997595706425,0,-4.09199185290259,0,-4.02944471448476,-2.45724782523399,0,5.4212773841043,0,0,0,0,-2.3311047110682,4.2560780800934,-3.84238087005809,-2.46524888693855,-3.51959033843697,0,0,0,0,0,0,0,0,0,6.09610928800137,0,-4.03759179733329,0,0,-4.26993632548019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239227",-4.7971433842229,-2.73779045275883,0,0,0,-2.85530645761897,0,0,0,-4.7419921646553,-2.82022275687521,0,4.94553585577556,0,0,0,0,0,4.88476910356984,0,-2.47527509621158,0,0,0,0,0,0,0,0,-3.2572676447253,0,0,0,0,0,0,4.2873022293484,0,0,0,0,5.64175305451444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.27362001020357,0,0,-3.12090386189138,0,0,0,0,0,0,0,0,5.40556405433379,5.67007618234673,0,0,-2.48649097445594,0,0,-4.30672870031913
