,D006262,D043183,accuracy,macro avg,weighted avg
precision,0.7,0.68,0.69,0.69,0.69
recall,0.67,0.71,0.69,0.69,0.69
f1-score,0.68,0.7,0.69,0.69,0.69
support,187.0,187.0,0.69,374.0,374.0
