,D006262,D043183,accuracy,macro avg,weighted avg
precision,0.59,0.6,0.59,0.6,0.6
recall,0.62,0.57,0.59,0.59,0.59
f1-score,0.6,0.59,0.59,0.59,0.59
support,1281.0,1281.0,0.59,2562.0,2562.0
