"","Part","BalanceID","Component","Group","d.group"
"74","1","28116__47678","28116","28116__476781","p__FCB group"
"114","-1","28116__47678","47678","28116__47678-1","p__FCB group"
"377","1","360807__457394","360807","360807__4573941","p__Terrabacteria group"
"390","-1","360807__457394","457394","360807__457394-1","p__FCB group"
"454","-1","88431__853_357276","853","88431__853_357276-1","p__Terrabacteria group"
"551","1","88431__853_357276","88431","88431__853_3572761","p__Terrabacteria group"
"589","-1","88431__853_357276","357276","88431__853_357276-1","p__FCB group"
"766","1","100886__674529","100886","100886__6745291","p__Terrabacteria group"
"843","-1","100886__674529","674529","100886__674529-1","p__FCB group"
"913","-1","291645__1680_40545","1680","291645__1680_40545-1","p__Terrabacteria group"
"957","-1","291645__1680_40545","40545","291645__1680_40545-1","p__Proteobacteria"
"1002","1","291645__1680_40545","291645","291645__1680_405451","p__FCB group"
"1178","1","46506__328814","46506","46506__3288141","p__FCB group"
"1223","-1","46506__328814","328814","46506__328814-1","p__FCB group"
"1306","1","853__357276","853","853__3572761","p__Terrabacteria group"
"1441","-1","853__357276","357276","853__357276-1","p__FCB group"
"1552","1","1680__40545","1680","1680__405451","p__Terrabacteria group"
"1596","-1","1680__40545","40545","1680__40545-1","p__Proteobacteria"
"1804","1","40214__301301_328813","40214","40214__301301_3288131","p__Proteobacteria"
"1856","-1","40214__301301_328813","301301","40214__301301_328813-1","p__Terrabacteria group"
"1861","-1","40214__301301_328813","328813","40214__301301_328813-1","p__FCB group"
"1930","-1","487175__584_371601","584","487175__584_371601-1","p__Proteobacteria"
"2083","-1","487175__584_371601","371601","487175__584_371601-1","p__FCB group"
"2100","1","487175__584_371601","487175","487175__584_3716011","p__Proteobacteria"
"2196","1","1694__1735_29382","1694","1694__1735_293821","p__Terrabacteria group"
"2197","-1","1694__1735_29382","1735","1694__1735_29382-1","p__Terrabacteria group"
"2214","-1","1694__1735_29382","29382","1694__1735_29382-1","p__Terrabacteria group"
"2437","-1","665951__39488_40518","39488","665951__39488_40518-1","p__Terrabacteria group"
"2445","-1","665951__39488_40518","40518","665951__39488_40518-1","p__Terrabacteria group"
"2544","1","665951__39488_40518","665951","665951__39488_405181","p__Terrabacteria group"
"2609","1","1579__1599","1579","1579__15991","p__Terrabacteria group"
"2614","-1","1579__1599","1599","1579__1599-1","p__Terrabacteria group"
"2903","1","154046__469610","154046","154046__4696101","p__Terrabacteria group"
