,0,1
0,3.9344068,23.905848
1,-3.2950442,22.065525
2,3.6165905,20.889471
3,1.8483188,20.22362
4,4.3874936,19.202831
5,4.6970563,27.22449
6,8.765405,24.333467
7,5.4849143,20.935362
8,1.1015817,18.48132
9,5.9252706,19.731934
10,8.500033,22.294876
11,-1.9962131,19.702234
12,4.232289,21.412556
13,5.748424,20.345758
14,1.9258819,21.458586
15,2.6840124,19.181639
16,0.52521133,20.287975
17,0.18122707,18.141548
18,2.5127926,25.296995
19,-3.733829,18.882715
20,-3.7802114,9.101523
21,2.131845,9.182065
22,-8.427966,18.453865
23,7.1566043,22.028776
24,8.806389,17.646385
25,-6.4554186,11.134858
26,6.284727,14.706297
27,-7.3803988,-16.653576
28,5.3781686,-15.346573
29,-5.4530654,4.587763
30,-10.509149,-5.5660534
31,-7.4370008,-5.136424
32,-9.320908,-10.79874
33,-2.8715575,24.054224
34,-6.8661137,-24.16917
35,-7.576328,11.0774
36,11.980509,17.754265
37,12.824527,12.6778555
38,5.3622956,17.215345
39,7.6472526,18.905996
40,0.514976,13.273379
41,-1.5255991,-12.531936
42,4.6477766,7.680575
43,4.096606,17.703876
44,9.816962,13.70103
45,-1.0523672,-11.737976
46,-5.21022,7.5781097
47,14.587973,18.133894
48,9.963218,15.094021
49,-1.7923831,13.647158
50,-0.01083714,-6.922859
51,-17.311863,-1.2004118
52,-17.295902,-1.2104247
53,-8.502781,6.8647475
54,-8.471922,7.1985188
55,-8.823656,6.938511
56,-5.974336,-12.159125
57,2.6158676,10.587171
58,8.939586,7.277204
59,14.656838,6.8101535
60,15.219766,13.320385
61,2.732446,26.91029
62,6.721491,10.546942
63,8.774311,-9.138159
64,0.07559082,3.4122732
65,10.79937,29.524235
66,7.4965334,20.047417
67,6.1904097,18.246311
68,5.1058764,14.871137
69,5.046353,21.36585
70,4.4247046,14.022621
71,-6.537902,12.503526
72,2.0661666,-18.030449
73,0.65100235,5.3566604
74,7.9951186,5.7123675
75,-6.8849077,16.272345
76,1.5142744,-11.930598
77,-2.386329,5.4533453
78,1.9962252,13.466832
79,-2.0077028,-17.652489
80,6.9545712,15.337335
81,9.987974,16.111025
82,0.3802983,4.79156
83,-7.8939905,-20.557474
84,14.525611,8.176344
85,-6.9142785,-10.2314625
86,11.8741,25.092321
87,6.559939,4.169763
88,-3.274071,6.0570498
89,-9.694154,-9.664773
90,5.8057547,6.10774
91,1.7064415,15.355953
92,9.209632,19.359072
93,5.1610074,-12.709923
94,7.5279317,-3.6645725
95,-4.0810394,11.846196
96,4.9930677,11.597755
97,12.580691,20.05834
98,2.031766,8.137884
99,-7.1355934,-12.742488
100,13.33204,14.513737
101,6.7797117,12.093976
102,3.7623208,15.74394
103,7.2044363,-13.384221
104,2.0397906,-10.114177
105,10.585655,12.554187
106,1.668177,12.107647
107,-8.45914,-6.4762855
108,6.8493676,8.683283
109,-5.7687297,-21.459394
110,9.716664,22.483393
111,-0.94687825,-9.583503
112,-2.5029314,-26.46255
113,-2.9704442,-19.139952
114,9.703413,-9.012742
115,13.470821,22.42614
116,9.340877,11.496883
117,5.486699,-6.405585
118,-0.59786284,13.166415
119,10.257796,8.635367
120,4.8371596,12.042765
121,-0.8773837,2.6568832
122,-0.3065464,14.881813
123,0.6641377,-26.742323
124,-4.468712,-15.242026
125,-2.11679,-13.629227
126,8.272989,7.4562807
127,-6.2356243,-19.921991
128,10.20486,10.479811
129,12.751936,15.515159
130,4.615807,7.49847
131,-1.540831,-17.012638
132,9.771954,12.011969
133,-6.4388556,-7.8531575
134,11.109119,23.463942
135,0.7196884,-2.5742931
136,6.6464267,25.355272
137,1.0692736,-9.608882
138,16.922565,10.865775
139,-7.404235,-13.276714
140,0.69549716,-6.42809
141,3.2179196,-11.809413
142,11.962358,-6.549125
143,-7.3162093,8.999045
144,-7.893861,-4.554601
145,3.4716904,-12.28208
146,-0.91489744,-7.1978655
147,12.077026,10.271378
148,-0.06959109,11.03067
149,-2.5787776,-23.184273
