"","28116__47678","360807__457394","88431__853_357276","100886__674529","291645__1680_40545","46506__328814","853__357276","1680__40545","40214__301301_328813","487175__584_371601","1694__1735_29382","665951__39488_40518","1579__1599","154046__469610","665956__46503_74426","1352__329854","292800__1535_454154","658657__817_823","301301__328813","1502__150055_322095","626929__39491_165179","671218__1363_28137","584__371601","649756__204516_338188","54005__851_552398","56774__28135_291644","1118058__820_239935","39488__40518","626933__1351_411489","225906__328812_626930","46503__74426","376804__46228_751585","1590__1254_53345","1735__29382","726__739_1747","43675__147802","28125__425941","28130__47715","1260__742723","1363__28137","1686__437897","150055__322095","228574__2173_39496","116085__818_821","28135__291644","1547__548_1531","615__1282","39486__363265_410072","1379__28026_54291","39491__165179","817__823","341694__1689_1161942","1226322__571_29361","539__582","1286__658082","851__552398","820__239935","40519__218538_1118061","333367__1283_208479","131111__28118_387090","1351__411489","55565__33039_246787","1535__454154","1246__33043_310297","71452__296_729","204516__338188","739__1747","46228__751585","1254__53345","28037__329_39777","33035__1512_37734","328812__626930","303__287_1681","1382__28111_39485","548__1531","1596__1318_384638","2173__39496","28026__54291","818__821","1689__1161942","363265__410072","1283__208479","571__29361","28118__387090","33039__246787","187326__546_29466","552396__214856_457402","296__729","103892__1304_1211813","665950__39492_40520","33043__310297","329__39777","218538__1118061","28025__1308_626940","1512__37734","28111__39485","287__1681","1318__384638","214856__457402","546__29466","1685__45851_216816","658081__166486_310298","39492__40520","1304__1211813","1308__626940","261299__28117_33038","166486__310298","45851__216816","28117__33038","1226325__562_457412","562__457412"
"ERR2239322",0,0,0,0,0,5.98080807449819,0,0,0,0,0,-2.44207156027265,0,0,0,0,0,-2.40075988186099,0,0,0,0,0,0,0,0,0,-4.22979201811124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.40765822642326,0,0,0,0,0,0,-4.15823809215629,0,0,0,0,0,0,-2.22506683046521,0,0,0,-1.62003974164972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.90223718299513,0,0,0,0,0,2.80599114281807,0,0,0,0,-2.34105002008502,0,0,3.85392880060198,0,0,0,0,0,0,0,0,0,4.05481757784739,0,0,-5.26357506836007,0,0,1.97351055506495,0,0
"ERR2239324",-0.152498919947181,0,0,0,-2.70047541391675,-4.94845976361847,0,-4.6773606214944,0,0,0,-2.78632253846049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.53940844969927,-4.82605220288785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.22728714388284,0,0,0,0,0,0,0,0,0,0,0,0,6.13043526361774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.301386136071922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239325",0.184965157714269,0,0,0,-2.39276819813034,-4.87749157038499,0,-4.14439608989677,0,0,0,0,0,0,0,0,0,-2.4178879701766,0,0,0,0,0,0,0,0,-3.57577671668507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.71245444183239,0,0,0,0,0,0,-4.18790481135545,0,0,0,0,0,6.19342694982036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.118568556616117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239326",4.64081402365855,0,0,0,-2.9653686179915,-5.20541966515731,0,-5.13616910953159,0,0,0,-2.67919613182808,0,0,0,0,0,-2.72449490318304,0,0,0,0,0,0,0,0,-2.95644076551538,-4.64050382376824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.0078970121418,0,0,0,0,0,0,-4.71896359727548,0,0,0,0,0,5.12070561544047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0448960613604827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239330",0,0,-2.7306515155841,0,0,0,4.72962716275662,0,-2.92829471400547,0,0,-2.65323378888349,0,0,-2.5704893181838,0,0,0,-5.07195522419285,0,-2.90831528935559,0,0,0,0,0,-2.84774292809358,-4.59553572670468,0,0,4.45221809940743,0,0,0,0,0,0,0,0,0,0,0,0,-3.16062647468334,0,0,0,0,0,5.03734984559327,0,0,0,0,0,0,4.93243543835305,-2.84606403262794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.47436563789886,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92952750610596,0,0,0,0,0,0,0,0,0,0,0,0,-2.77291943694838,0,0,4.80283735008987,0,0
"ERR2239331",0,3.46955435724492,-2.30379675505738,0,0,3.08772480105504,3.99029303007169,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1383157028756,0,0,0,0,0,-1.77899938249954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.22979200399942,0,0,0,0,0,-5.43572224757177,0,0,-3.20400225025388,0,0,0,3.08131731712286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.86211304123781,0,0,0,5.54949468500473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16789433570178,0,0,3.75490313487626,-3.48435483688143,6.03507960907701
"ERR2239333",0,0,-5.63529983663651,0,0,0,0.80283585413431,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.89036673722595,0,0,-2.50786087429994,0,0,-2.90130656068558,0,0,0,0,2.80653487823591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00626204138243,0,0,0,0,0,0,5.02521037144035,0,0,0,0,0,0,0,0,4.34374245260161,0,-4.99017886859637,0,0,0,0,0,-2.89090192525419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00718901423894,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.10323989627189,5.37496916841769
"ERR2239339",-4.03060846330591,0,-2.51700938297119,0,0,0,4.35958813443369,0,0,-2.46089852950062,0,0,0,0,0,0,0,0,0,0,-6.64277731946759,0,-4.2624012853666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.52263701307251,0,0,0,0,0,-1.49003588746468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.07697163046428,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.36933547569538,0,0,0,0,0,0,0,0,-3.5974203898433,-2.10982245265244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65431968294361,0,0,0,0,0,0,0
"ERR2239340",-6.02834518742492,0,-2.67334228595776,0,0,0,4.63036466530117,0,0,0,0,0,0,4.54999754014862,0,0,0,0,0,0,-2.50281603163353,0,0,0,0,0,-2.67274270845002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.43919545136399,0,0,0,0,0,-4.33500452878719,0,0,0,0,0,0,4.62932616659469,0,0,0,0,-2.46771963855689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.22481045135333,0,0,0,0,0,4.27421579281604,0,0,0,0,-2.78206441375637,0,0,0,0,0,0,0,0,0,0,0,0,4.81867691455535,0,0,0,0,0,0,-3.17435244942511,5.49813972353501
"ERR2239352",0,0,0,0,0,0,0,0,0,0,0,-2.33289489209134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04069248182012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.08414997623386,-5.03537130387541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.60985364943051,0,0,0.161311859625778,0,0,-3.00959649716497,0,0,0,0,0,0,0,0,0,0,0,0,0,5.21277404337104,-2.64991939619576,0,0,0,0,-2.7818161986778,0,-4.5897950301733,-4.81824699342807,-3.50905602750372,6.07786332624226
