,D006262,D015212,accuracy,macro avg,weighted avg
precision,0.73,0.74,0.74,0.74,0.74
recall,0.75,0.72,0.74,0.74,0.74
f1-score,0.74,0.73,0.74,0.74,0.74
support,280.0,280.0,0.74,560.0,560.0
