,D006262,D013964,accuracy,macro avg,weighted avg
precision,0.78,0.77,0.78,0.78,0.78
recall,0.76,0.79,0.78,0.78,0.78
f1-score,0.77,0.78,0.78,0.78,0.78
support,38.0,38.0,0.78,76.0,76.0
