,D006262,D054323,accuracy,macro avg,weighted avg
precision,0.0,0.67,0.67,0.33,0.44
recall,0.0,1.0,0.67,0.5,0.67
f1-score,0.0,0.8,0.67,0.4,0.53
support,3.0,6.0,0.67,9.0,9.0
