,D003924,D006262,accuracy,macro avg,weighted avg
precision,0.9,0.87,0.89,0.89,0.89
recall,0.87,0.91,0.89,0.89,0.89
f1-score,0.88,0.89,0.89,0.89,0.89
support,128.0,128.0,0.89,256.0,256.0
