,D003015,D006262,accuracy,macro avg,weighted avg
precision,0.85,0.84,0.85,0.85,0.85
recall,0.84,0.86,0.85,0.85,0.85
f1-score,0.85,0.85,0.85,0.85,0.85
support,1255.0,1255.0,0.85,2510.0,2510.0
