"","Part","BalanceID","Component","Group","d.group"
"32","1","39492__310298","39492","39492__3102981","p__Terrabacteria group"
"59","-1","39492__310298","310298","39492__310298-1","p__FCB group"
"141","-1","626940__246787_751585","246787","626940__246787_751585-1","p__FCB group"
"167","1","626940__246787_751585","626940","626940__246787_7515851","p__Terrabacteria group"
"172","-1","626940__246787_751585","751585","626940__246787_751585-1","p__Terrabacteria group"
"228","1","246787__751585","246787","246787__7515851","p__FCB group"
"259","-1","246787__751585","751585","246787__751585-1","p__Terrabacteria group"
"301","1","46506__329854","46506","46506__3298541","p__FCB group"
"323","-1","46506__329854","329854","46506__329854-1","p__FCB group"
"376","1","33043__88431_310297","33043","33043__88431_3102971","p__Terrabacteria group"
"391","-1","33043__88431_310297","88431","33043__88431_310297-1","p__Terrabacteria group"
"406","-1","33043__88431_310297","310297","33043__88431_310297-1","p__FCB group"
"439","1","817__100886","817","817__1008861","p__FCB group"
"479","-1","817__100886","100886","817__100886-1","p__Terrabacteria group"
"543","-1","338188__28111_360807","28111","338188__28111_360807-1","p__FCB group"
"585","1","338188__28111_360807","338188","338188__28111_3608071","p__FCB group"
"587","-1","338188__28111_360807","360807","338188__28111_360807-1","p__Terrabacteria group"
"652","1","88431__310297","88431","88431__3102971","p__Terrabacteria group"
"667","-1","88431__310297","310297","88431__310297-1","p__FCB group"
"701","-1","410072__818_40545","818","410072__818_40545-1","p__FCB group"
"732","-1","410072__818_40545","40545","410072__818_40545-1","p__Proteobacteria"
"768","1","410072__818_40545","410072","410072__818_405451","p__Terrabacteria group"
"806","-1","328814__28117_487174","28117","328814__28117_487174-1","p__FCB group"
"844","1","328814__28117_487174","328814","328814__28117_4871741","p__FCB group"
"861","-1","328814__28117_487174","487174","328814__28117_487174-1","p__FCB group"
"876","-1","1118061__820_411489","820","1118061__820_411489-1","p__FCB group"
"943","-1","1118061__820_411489","411489","1118061__820_411489-1","p__Terrabacteria group"
"956","1","1118061__820_411489","1118061","1118061__820_4114891","p__FCB group"
"1009","-1","384638__218538_357276","218538","384638__218538_357276-1","p__Terrabacteria group"
"1021","-1","384638__218538_357276","357276","384638__218538_357276-1","p__FCB group"
"1026","1","384638__218538_357276","384638","384638__218538_3572761","p__Terrabacteria group"
"1066","-1","214856__28116_328813","28116","214856__28116_328813-1","p__FCB group"
"1094","1","214856__28116_328813","214856","214856__28116_3288131","p__FCB group"
"1104","-1","214856__28116_328813","328813","214856__28116_328813-1","p__FCB group"
"1139","-1","487175__823_291644","823","487175__823_291644-1","p__FCB group"
"1187","-1","487175__823_291644","291644","487175__823_291644-1","p__FCB group"
"1210","1","487175__823_291644","487175","487175__823_2916441","p__Proteobacteria"
"1239","1","28111__360807","28111","28111__3608071","p__FCB group"
"1283","-1","28111__360807","360807","28111__360807-1","p__Terrabacteria group"
"1310","1","818__40545","818","818__405451","p__FCB group"
"1341","-1","818__40545","40545","818__40545-1","p__Proteobacteria"
"1416","1","28118__166486_674529","28118","28118__166486_6745291","p__FCB group"
"1439","-1","28118__166486_674529","166486","28118__166486_674529-1","p__Terrabacteria group"
"1476","-1","28118__166486_674529","674529","28118__166486_674529-1","p__FCB group"
"1482","1","573__33038_658081","573","573__33038_6580811","p__Proteobacteria"
"1505","-1","573__33038_658081","33038","573__33038_658081-1","p__Terrabacteria group"
"1560","-1","573__33038_658081","658081","573__33038_658081-1","p__Terrabacteria group"
"1572","1","820__411489","820","820__4114891","p__FCB group"
"1639","-1","820__411489","411489","820__411489-1","p__Terrabacteria group"
"1683","-1","52226__39488_469588","39488","52226__39488_469588-1","p__Terrabacteria group"
"1695","1","52226__39488_469588","52226","52226__39488_4695881","p__Terrabacteria group"
"1729","-1","52226__39488_469588","469588","52226__39488_469588-1","p__FCB group"
"1791","1","216816__261299","216816","216816__2612991","p__Terrabacteria group"
"1795","-1","216816__261299","261299","216816__261299-1","p__Terrabacteria group"
"1852","1","29348__46503_387090","29348","29348__46503_3870901","p__Terrabacteria group"
"1866","-1","29348__46503_387090","46503","29348__46503_387090-1","p__FCB group"
"1897","-1","29348__46503_387090","387090","29348__46503_387090-1","p__FCB group"
"1937","1","28117__487174","28117","28117__4871741","p__FCB group"
"1992","-1","28117__487174","487174","28117__487174-1","p__FCB group"
"2009","1","823__291644","823","823__2916441","p__FCB group"
"2057","-1","823__291644","291644","823__291644-1","p__FCB group"
"2140","1","218538__357276","218538","218538__3572761","p__Terrabacteria group"
"2152","-1","218538__357276","357276","218538__357276-1","p__FCB group"
"2194","-1","39496__1735_47678","1735","39496__1735_47678-1","p__Terrabacteria group"
"2208","1","39496__1735_47678","39496","39496__1735_476781","p__Terrabacteria group"
"2216","-1","39496__1735_47678","47678","39496__1735_47678-1","p__FCB group"
"2297","1","40520__46228_457412","40520","40520__46228_4574121","p__Terrabacteria group"
"2300","-1","40520__46228_457412","46228","40520__46228_457412-1","p__Terrabacteria group"
"2337","-1","40520__46228_457412","457412","40520__46228_457412-1","p__Terrabacteria group"
"2386","-1","1161942__45851_165179","45851","1161942__45851_165179-1","p__Terrabacteria group"
"2395","-1","1161942__45851_165179","165179","1161942__45851_165179-1","p__FCB group"
"2436","1","1161942__45851_165179","1161942","1161942__45851_1651791","p__Terrabacteria group"
"2458","1","28116__328813","28116","28116__3288131","p__FCB group"
"2496","-1","28116__328813","328813","28116__328813-1","p__FCB group"
"2540","1","1623__39491_204516","1623","1623__39491_2045161","p__Terrabacteria group"
"2554","-1","1623__39491_204516","39491","1623__39491_204516-1","p__Terrabacteria group"
"2572","-1","1623__39491_204516","204516","1623__39491_204516-1","p__FCB group"
"2678","1","376805__665951","376805","376805__6659511","p__FCB group"
"2693","-1","376805__665951","665951","376805__665951-1","p__Terrabacteria group"
"2704","-1","187327__821_40518","821","187327__821_40518-1","p__FCB group"
"2731","-1","187327__821_40518","40518","187327__821_40518-1","p__Terrabacteria group"
"2745","1","187327__821_40518","187327","187327__821_405181","p__Terrabacteria group"
