,D006262,D050177,accuracy,macro avg,weighted avg
precision,0.79,0.73,0.76,0.76,0.76
recall,0.69,0.82,0.76,0.76,0.76
f1-score,0.74,0.77,0.76,0.75,0.75
support,137.0,137.0,0.76,274.0,274.0
