,D006262,D007410,accuracy,macro avg,weighted avg
precision,0.68,0.64,0.67,0.66,0.66
recall,0.83,0.44,0.67,0.63,0.67
f1-score,0.75,0.52,0.67,0.63,0.65
support,186.0,128.0,0.67,314.0,314.0
