,D006262,D009765,accuracy,macro avg,weighted avg
precision,0.79,0.82,0.8,0.8,0.8
recall,0.83,0.78,0.8,0.8,0.8
f1-score,0.81,0.8,0.8,0.8,0.8
support,706.0,706.0,0.8,1412.0,1412.0
