,D006262,D006515,accuracy,macro avg,weighted avg
precision,0.0,0.95,0.95,0.47,0.89
recall,0.0,1.0,0.95,0.5,0.95
f1-score,0.0,0.97,0.95,0.49,0.92
support,4.0,69.0,0.95,73.0,73.0
