"","165179__562_823","310297__46503_166486","818__820","47678__239935","751585__39485_204516","39492__46506_457412","674529__33039_246787","562__823","28111__46228","46503__166486","39777__548_29466","1304__1318","469591__33038_88431","40519__1358_39486","46506__457412","287__29361_328813","100886__301301","33039__246787","457387__1680_1735","1118061__218538_310298","39485__204516","729__74426","187327__329854_658081","33038__88431","1689__40520","387090__2173_411489","29361__328813","218538__310298","33035__469588","154046__328812","39496__817_410072","1680__1735","1203555__29348_47770","28025__40545_360807","1685__454154","39483__658089","29348__47770","137591__626940","1343__658086","158847__469593","328814__821_853","1512__163665","548__29466","214856__469592","550__338188","1531__208479","1358__39486","1535__216816_357276","329854__658081","584__573_1308","817__410072","1623__102862","2173__411489","821__853","116085__28116_39488","40545__360807","216816__357276","908612__28117_40518","457394__39491_487174","573__1308","28116__39488","39491__487174","28117__40518"
"SRR5275431",5.44069973951511,0,0,0,0,-2.75620066089991,0,0,0,0,0,0,-2.54137450670114,0,4.77387958053357,0,0,0,0,0,0,0,0,4.40178976666667,0,0,0,0,-4.13526614150082,0,0,0,0,0,0,0,0,0,0,0,-2.42106486077137,0,0,0,0,0,0,0,0,0,0,0,0,4.19340734727569,-2.44179098943819,0,0,-5.33943720008384,-3.45841034655547,0,4.22930605517083,5.99014243365597,-0.177107360443976
"SRR5275432",0,0,-4.15044314126808,-0.966158711916116,-2.31968819076956,-2.27849675455725,-2.76593715446902,0,0,0,0,0,0,0,3.94647214377395,0,0,4.79074368208282,0,0,4.0178178041304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.53069981112379,0,0,0,0,-2.17183686399819,0,0,0,0,0,0,0,0,0,0,0,0,3.76173179419592,0,0,0,0,-2.5219164608032,0,0,4.36808744255543,0
"SRR5275433",0,0,-0.330224564545633,-5.38385405870644,0,-2.74707504107045,0,0,0,0,0,0,0,0,-4.75807354333838,0,-4.78859166335851,0,0,0,0,0,-2.9028568343847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.86808278122725,0,0,0,0,0,0,-2.72483693538007,5.02789552425285,0,0,0,0,-4.96766509739905,0,0,4.71955601441855,0,-2.58341071586541,0,0,4.47459861669678,0
"SRR5275434",0,0,0,0,0,-2.6180629711218,0,0,0,0,-2.48123056836883,0.443209764858918,0,0,-4.53461808339769,0,0,0,0,-2.58494634827621,0,0,0,0,-4.76707722904125,0,0,4.47725841005402,0,0,-2.41326336792562,0,0,0,0,0,0,0,0,0,-3.09627758640318,0,-4.29761740970782,0,0,0,0,0,0,0,4.17989476529196,0,0,-5.36291009398704,0,0,0,0,-3.31380689585434,0,0,5.73968191009182,0
"SRR5275435",0,0,0,0,0,-2.80370846759565,0,0,0,0,0,0,0,0,4.85616551548675,0,0,0,0,0,0,4.719965230074,0,0,0,0,0,0,0,0,0,0,0,-2.75886153680744,0,0,0,0,0,0,-6.23163706553741,0,0,0,0,0,0,-2.4497448081478,0,0,0,4.55133856096599,0,0.702469421110488,-2.54354891371406,-4.77848835279805,4.24308247329006,0,-3.05099403308613,0,4.40555595008937,5.28447667889465,0
"SRR5275436",0,-2.43147565993633,-5.92800521879518,0,-2.72943992594264,-3.08472067808508,0,0,0,4.21143938037678,0,0,0,0,5.34289294160167,0,0,0,0,0,4.72752862793968,0,-2.99285137294028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.41305543950817,0,0,0,0,0,0,0,5.18377063743484,0,0,0,0,1.13242606172268,-3.16048170936201,0,0,0,-2.55682225727462,0,5.47411489700713,4.42854605552259,0
"SRR5275437",0,4.92509624398465,-5.25935171797443,0,-2.71294816881661,-2.5154554557253,2.47771640708789,0,0,0,0,0,0,0,4.35689665349254,0,0,4.64032488450809,-5.6038208338172,0,-4.69896406669133,0,0,0,0,0,0,0,0,0,0,1.53039276216038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.3250060533787,0,0,5.75907941992598,0
"SRR5275438",-2.34247352534646,0,0,3.66658351977037,0,0,-2.44142913611331,4.05728316128505,0,0,0,0,-5.42898180823206,0,0,0,0,4.22867930682725,-2.49068941525276,0,0,0,0,-0.232703671719208,0,0,0,0,0,0,0,4.3140006130918,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.238286178504873,0,0,0,-3.69121125286294,0,0,0,0,0,0,0,0,0,6.39336543142859,0,0,0
"SRR5275439",-2.47049146918965,0,0,-0.125625430001688,0,0,0,4.27901674430195,0,0,0,0,-2.51835893293061,0,0,0,0,0,0,0,0,0,0,-4.36192562353077,-5.24129302840057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28638645991399,0,0,0,0,0,0,2.56954153931985,0,0,0,-2.85841621489288,0,-4.78271562288986,4.95092211337319,0
"SRR5275440",-3.86130561619071,0,0,-3.07953674624641,0,0,0,6.68797751079335,0,0,0,2.83591540436809,0,0,0,0,0,0,0,-1.64007293592709,0,0,0,0,0,0,0,2.84068965314437,0,0,0,0,0,0,0,0,0,0,0,0,-1.95442684691912,0,0,0,0,0,0,0,0,-2.06303490855102,0,0,0,3.38516659854055,-2.38637201840945,0,0,-2.10780549733304,-2.63285911601999,3.57328127939858,4.13331758164586,4.5602457581175,-3.65082621385382
"SRR5275441",0,0,-4.81510311276152,0,-2.61992324065787,0,-3.02428345922744,0,0,0,0,0,-2.55187701655002,0,0,0,0,5.23821260787209,0,0,-4.53784016474994,-4.40057231641774,0,4.41998064733192,0,0,0,0,0,0,-3.09661587582607,0,0,0,0,0,0,0,0,0,-2.86637901768018,0,0,0,0,0,0,0,0,0,-5.36349602845515,0,0,4.96471409237145,0,0,0,-2.71425245933241,-2.83097827211802,0,0,4.90339820243196,-4.70122316413251
"SRR5275442",-2.33877646232436,0,-5.24471966063218,0,0,3.62183397246284,-2.86887377222962,4.05087966029199,0,0,0,0,0,0,5.42058678372404,0,0,4.96903513400348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.97763091717552,0,0,0,0,-4.1873134260207,0,0,0,0,0,0,0,5.15740803473592,0,0,0,0,-3.06913130764359,0,0,5.31589135993901,0
"SRR5275443",0,0,0,0,4.54674376597228,0,-2.46510774675021,0,0,0,0,0.0305267602337591,0,0,0,0,0,4.269691863503,-2.37517043384331,-3.40425672254731,0,0,0,0,0,0,0,5.89634560545984,0,0,0,4.11391586805203,0,0,0,0,0,0,0,0,-2.81292260113706,0,0,0,0,0,0,0,0,0,0,0,0,-4.87212486292819,0,0,0,-2.63183258374051,-2.60320312310815,0,0,4.5088800716453,-4.55846775205383
"SRR5275444",1.9889292256956,0,0,-4.03705628672008,0,-2.27346293816535,0,4.50898923432101,0,0,0,-0.243526002565453,0,0,-3.9377533180272,0,0,0,-3.44410527380286,0,0,-4.09196088737997,0,0,0,0,0,0,0,0,0,-5.96536532084247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.6166296233605,0,0,4.53213545225019,0
"SRR5275445",0,0,-4.52617311138857,0,-2.81399367058563,-2.56925291589709,0,0,0,0,0,0,0,0,4.45007658782826,0,0,0,0,-3.34103081524277,-4.87398000963155,0,0,0,0,0,0,-5.78683512165374,0,0,0,0,0,0,-4.12538963615164,0,0,0,0,0,-5.35921815311556,0,0,0,0,0,0,0,0,0,0,0,0,-0.360780748069445,0,0,0,-2.94941217689157,-2.89265235428253,0,0,5.01022084625107,-5.10853174283852
"SRR5275446",-3.02897131921826,0,-1.17995625407386,0,0,0,-2.74313356460222,5.24633221955496,0,0,0,0,0,0,0,0,0,-4.75124670583856,-2.55083507581604,0,0,0,0,0,0,0,0,0,0,0,0,4.41817595304219,0,0,0,0,0,0,0,0,-2.71491035848106,0,0,0,4.93560405231125,0,0,0,0,0,0,0,0,4.70236267888422,0,0,0,-2.54264782868202,-3.2790723057796,0,0,5.6795198353023,-4.40399522503195
"SRR5275447",0,0,-4.81070710864505,-1.36118028814836,0,3.73740690199546,-2.6042796218028,0,0,0,0,0,0,0,5.3121581033673,0,0,4.51074462207871,-2.82993802996856,0,0,0,0,0,0,0,0,0,0,0,-2.64212344128556,4.90159645017692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.57629204017531,0,0,0,0,0,0,-2.65443478104182,0,0,0,0,-4.59761590614239
"SRR5275448",0,-2.45609863500857,0,0,-1.93181188073406,-2.01654571688367,-2.03589610136298,0,0,-4.25408762423541,0,0,0,0,-3.49275963742791,0,0,3.52627548649208,0,0,-3.34599632809659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.34535660327878,0,0,0,0,0,0,0,0,0,0,0,0,-0.247688762619396,-1.91360844142984,0,0,-3.41890689582693,-3.61769210431418,0,3.31446704634917,6.26602653081293,-5.92172044991984
