,D006262,D065626,accuracy,macro avg,weighted avg
precision,0.77,0.91,0.83,0.84,0.84
recall,0.93,0.72,0.83,0.83,0.83
f1-score,0.84,0.81,0.83,0.82,0.82
support,98.0,98.0,0.83,196.0,196.0
