,D006262,D065626,accuracy,macro avg,weighted avg
precision,0.0,0.92,0.92,0.46,0.84
recall,0.0,1.0,0.92,0.5,0.92
f1-score,0.0,0.96,0.92,0.48,0.88
support,4.0,44.0,0.92,48.0,48.0
