,D003863,D006262,accuracy,macro avg,weighted avg
precision,0.69,0.79,0.75,0.74,0.75
recall,0.7,0.78,0.75,0.74,0.75
f1-score,0.69,0.79,0.75,0.74,0.75
support,791.0,1170.0,0.75,1961.0,1961.0
