,D006262,D012778,accuracy,macro avg,weighted avg
precision,0.0,0.75,0.75,0.38,0.56
recall,0.0,1.0,0.75,0.5,0.75
f1-score,0.0,0.86,0.75,0.43,0.64
support,4.0,12.0,0.75,16.0,16.0
