,D006262,D012559,accuracy,macro avg,weighted avg
precision,0.98,0.84,0.91,0.91,0.92
recall,0.88,0.97,0.91,0.92,0.91
f1-score,0.92,0.9,0.91,0.91,0.91
support,187.0,123.0,0.91,310.0,310.0
