oldID,newID
1078764_and_28111_and_357276,1078764__28111_357276
28111_and_357276,28111__357276
1118061_and_165179,165179__1118061
154046_and_411489_and_546,154046__546_411489
1260_and_147802_and_33043,147802__1260_33043
1747_and_52584_and_552398,1747__52584_552398
387661_and_43765_and_548,548__43765_387661
218538_and_28126_and_47678,28126__47678_218538
116085_and_287_and_674529,116085__287_674529
40520_and_46228_and_729,40520__729_46228
411489_and_546,546__411489
28117_and_39485_and_88431,88431__28117_39485
246787_and_322095_and_573,322095__573_246787
1260_and_33043,1260__33043
39491_and_817_and_853,817__853_39491
291645_and_37734_and_626933,291645__37734_626933
218538_and_47678,47678__218538
158836_and_46506_and_54291,158836__46506_54291
329_and_384638_and_387090,384638__329_387090
287_and_674529,287__674529
46506_and_54291,46506__54291
310298_and_550_and_820,310298__550_820
1623_and_363265_and_39492,1623__39492_363265
40518_and_626940_and_74426,626940__40518_74426
28117_and_39485,28117__39485
166486_and_338188_and_823,823__166486_338188
216816_and_239935_and_296,296__216816_239935
246787_and_573,573__246787
1286_and_562_and_571,1286__562_571
46228_and_729,729__46228
1351_and_371601_and_818,371601__818_1351
550_and_820,550__820
100886_and_328813_and_40545,100886__40545_328813
39491_and_853,853__39491
363265_and_39492,39492__363265
33039_and_626929_and_751585,626929__33039_751585
1283_and_1735,1283__1735
301301_and_454155_and_45851,454155__45851_301301
562_and_571,562__571
37734_and_626933,37734__626933
29361_and_39488,29361__39488
329_and_387090,329__387090
40518_and_74426,40518__74426
1680_and_329854_and_665951,665951__1680_329854
582_and_584,582__584
216816_and_239935,216816__239935
1318_and_487175,1318__487175
1351_and_818,818__1351
204516_and_310297_and_487174,310297__204516_487174
166486_and_338188,166486__338188
28116_and_360807_and_658086,658086__28116_360807
1689_and_33038,1689__33038
328813_and_40545,40545__328813
39496_and_501496_and_649756,501496__39496_649756
301301_and_45851,45851__301301
52584_and_552398,52584__552398
387661_and_43765,43765__387661
33039_and_751585,33039__751585
328812_and_626930,328812__626930
147207_and_303_and_76759,76759__303_147207
545_and_624,545__624
40214_and_40324,40214__40324
39496_and_649756,39496__649756
1681_and_261299,1681__261299
28116_and_360807,28116__360807
1680_and_329854,1680__329854
204516_and_487174,204516__487174
147207_and_303,303__147207
