"","1078764__28111_357276","28111__357276","165179__1118061","154046__546_411489","147802__1260_33043","1747__52584_552398","548__43765_387661","28126__47678_218538","116085__287_674529","40520__729_46228","546__411489","88431__28117_39485","322095__573_246787","1260__33043","817__853_39491","291645__37734_626933","47678__218538","158836__46506_54291","384638__329_387090","287__674529","46506__54291","310298__550_820","1623__39492_363265","626940__40518_74426","28117__39485","823__166486_338188","296__216816_239935","573__246787","1286__562_571","729__46228","371601__818_1351","550__820","100886__40545_328813","853__39491","39492__363265","626929__33039_751585","1283__1735","454155__45851_301301","562__571","37734__626933","29361__39488","329__387090","40518__74426","665951__1680_329854","582__584","216816__239935","1318__487175","818__1351","310297__204516_487174","166486__338188","658086__28116_360807","1689__33038","40545__328813","501496__39496_649756","45851__301301","52584__552398","43765__387661","33039__751585","328812__626930","76759__303_147207","545__624","40214__40324","39496__649756","1681__261299","28116__360807","1680__329854","204516__487174","303__147207"
"ERR2238626",0,0,0,-3.09281084574556,0,0,0,0,0,0,5.35690552303137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.86089927667519,0,0,0,0,0,0,0,0,0,6.68727371010736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238632",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.593686317489236,0,0,0,0,0,0,0,0,0,1.02829486564982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238634",0,0,0,0,0,2.33547190516859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.69717353681458,0,0,0,0,0,0,0,0,0,6.40369241016197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238647",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.8837670781762,0,0,0,0,0,0,0,0,0,6.72688190416451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238648",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.71051359284727,0,0,0,0,0,0,0,0,0,6.42679806498641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238665",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47589160840795,0,0,-6.66740312782967,0,0,0,0,0,0,0,-1.49304013673692,0,0,0,0,0,0,0,0,0,2.58602137456793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238676",0,0,0,0,0,4.30703042623613,0,0,-2.44178911400047,0,0,0,0,0,0,0,0,0,0,4.22930280681741,0,0,0,0,0,0,0,0,-3.84786249651915,0,-1.62194361015911,0,0,0,0,0,0,0,6.66469334450999,0,0,0,0,0,0,0,0,-2.80928873980727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238687",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.92660742274575,0,0,0,0,0,0,0,0,0,6.80108355757272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238695",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.84719074640503,0,0,0,0,0,0,0,5.66267411716631,0,6.66352983918235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238705",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.93415866828958,0,0,0,0,0,0,0,0,0,6.81416269851506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238712",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.84750698736869,0,0,0,0,0,0,0,0,0,6.66407758459884,0,0,0,0,0,-5.64334722148069,0,2.29800779440051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238715",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.661264762973293,0,0,0,0,0,0,0,0,0,-3.73727371017319,0,0,0,0,0,0,0,0,0,6.47314794781141,0,0,1.14534416672473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
