,D001714,D006262,accuracy,macro avg,weighted avg
precision,0.84,0.98,0.91,0.91,0.92
recall,0.97,0.88,0.91,0.92,0.91
f1-score,0.9,0.92,0.91,0.91,0.91
support,123.0,187.0,0.91,310.0,310.0
