"","Part","BalanceID","Component","Group","d.group"
"152","-1","74426__45067_121428","45067","74426__45067_121428-1","p__Proteobacteria"
"171","1","74426__45067_121428","74426","74426__45067_1214281","p__Terrabacteria group"
"200","-1","74426__45067_121428","121428","74426__45067_121428-1","p__Proteobacteria"
"363","1","1512__218538","1512","1512__2185381","p__Terrabacteria group"
"535","-1","1512__218538","218538","1512__218538-1","p__Terrabacteria group"
"664","-1","487175__1492_29466","1492","487175__1492_29466-1","p__Terrabacteria group"
"726","-1","487175__1492_29466","29466","487175__1492_29466-1","p__Terrabacteria group"
"881","1","487175__1492_29466","487175","487175__1492_294661","p__Proteobacteria"
"972","1","1504__38986_61635","1504","1504__38986_616351","p__Terrabacteria group"
"1049","-1","1504__38986_61635","38986","1504__38986_61635-1","p__Terrabacteria group"
"1080","-1","1504__38986_61635","61635","1504__38986_61635-1","p__Terrabacteria group"
"1266","-1","84112__1343_57706","1343","84112__1343_57706-1","p__Terrabacteria group"
"1383","-1","84112__1343_57706","57706","84112__1343_57706-1","p__Proteobacteria"
"1401","1","84112__1343_57706","84112","84112__1343_577061","p__Terrabacteria group"
"1579","1","1492__29466","1492","1492__294661","p__Terrabacteria group"
"1641","-1","1492__29466","29466","1492__29466-1","p__Terrabacteria group"
"1988","1","47715__943673","47715","47715__9436731","p__Terrabacteria group"
"2119","-1","47715__943673","943673","47715__943673-1","p__Terrabacteria group"
"2188","1","1428__454171","1428","1428__4541711","p__Terrabacteria group"
"2404","-1","1428__454171","454171","1428__454171-1","p__Terrabacteria group"
"2557","-1","658062__29542_425358","29542","658062__29542_425358-1","p__Proteobacteria"
"2705","-1","658062__29542_425358","425358","658062__29542_425358-1","p__Terrabacteria group"
"2723","1","658062__29542_425358","658062","658062__29542_4253581","p__Acidobacteria"
"2897","1","45067__121428","45067","45067__1214281","p__Proteobacteria"
"2945","-1","45067__121428","121428","45067__121428-1","p__Proteobacteria"
"3176","1","33075__1113802","33075","33075__11138021","p__Acidobacteria"
"3343","-1","33075__1113802","1113802","33075__1113802-1","p__Proteobacteria"
"3542","1","101070__521466","101070","101070__5214661","p__Terrabacteria group"
"3627","-1","101070__521466","521466","101070__521466-1","p__Terrabacteria group"
"3777","1","29542__425358","29542","29542__4253581","p__Proteobacteria"
"3925","-1","29542__425358","425358","29542__425358-1","p__Terrabacteria group"
"3967","-1","97478__470_582","470","97478__470_582-1","p__Proteobacteria"
"3975","-1","97478__470_582","582","97478__470_582-1","p__Proteobacteria"
"4150","1","97478__470_582","97478","97478__470_5821","p__Terrabacteria group"
"4297","1","856__33029_390877","856","856__33029_3908771","p__Fusobacteria"
"4389","-1","856__33029_390877","33029","856__33029_390877-1","p__Terrabacteria group"
"4532","-1","856__33029_390877","390877","856__33029_390877-1","p__Proteobacteria"
"4803","1","216778__676599","216778","216778__6765991","p__Proteobacteria"
"4859","-1","216778__676599","676599","216778__676599-1","p__Proteobacteria"
"4911","1","1260__33034_309120","1260","1260__33034_3091201","p__Terrabacteria group"
"5001","-1","1260__33034_309120","33034","1260__33034_309120-1","p__Terrabacteria group"
"5121","-1","1260__33034_309120","309120","1260__33034_309120-1","p__Terrabacteria group"
"5377","-1","301301__105841_871324","105841","301301__105841_871324-1","p__Terrabacteria group"
"5423","1","301301__105841_871324","301301","301301__105841_8713241","p__Terrabacteria group"
"5473","-1","301301__105841_871324","871324","301301__105841_871324-1","p__FCB group"
"5518","-1","1684__860_158847","860","1684__860_158847-1","p__Fusobacteria"
"5570","1","1684__860_158847","1684","1684__860_1588471","p__Terrabacteria group"
"5699","-1","1684__860_158847","158847","1684__860_158847-1","p__Terrabacteria group"
"5815","1","820__454154","820","820__4541541","p__FCB group"
"6063","-1","820__454154","454154","820__454154-1","p__FCB group"
"6296","-1","536633__111015_214856","111015","536633__111015_214856-1","p__Terrabacteria group"
"6327","-1","536633__111015_214856","214856","536633__111015_214856-1","p__FCB group"
"6373","1","536633__111015_214856","536633","536633__111015_2148561","p__Terrabacteria group"
"6408","-1","488__483_28091","483","488__483_28091-1","p__Proteobacteria"
"6410","1","488__483_28091","488","488__483_280911","p__Proteobacteria"
"6501","-1","488__483_28091","28091","488__483_28091-1","p__Proteobacteria"
"6883","1","76860__1385387","76860","76860__13853871","p__Terrabacteria group"
"7010","-1","76860__1385387","1385387","76860__1385387-1","p__Terrabacteria group"
"7130","1","29389__52242","29389","29389__522421","p__Terrabacteria group"
"7175","-1","29389__52242","52242","29389__52242-1","p__Terrabacteria group"
"7452","-1","46867__36850_1465754","36850","46867__36850_1465754-1","p__Terrabacteria group"
"7476","1","46867__36850_1465754","46867","46867__36850_14657541","p__Terrabacteria group"
"7621","-1","46867__36850_1465754","1465754","46867__36850_1465754-1","p__FCB group"
"7690","-1","291644__1559_165179","1559","291644__1559_165179-1","p__Terrabacteria group"
"7838","-1","291644__1559_165179","165179","291644__1559_165179-1","p__FCB group"
"7861","1","291644__1559_165179","291644","291644__1559_1651791","p__FCB group"
"8038","1","29360__52787","29360","29360__527871","p__Terrabacteria group"
"8092","-1","29360__52787","52787","29360__52787-1","p__Terrabacteria group"
"8326","-1","246787__2751_194326","2751","246787__2751_194326-1","p__Terrabacteria group"
"8456","-1","246787__2751_194326","194326","246787__2751_194326-1","p__Terrabacteria group"
"8468","1","246787__2751_194326","246787","246787__2751_1943261","p__FCB group"
"8603","1","1535__1161942","1535","1535__11619421","p__Terrabacteria group"
"8836","-1","1535__1161942","1161942","1535__1161942-1","p__Terrabacteria group"
"8891","1","1343__57706","1343","1343__577061","p__Terrabacteria group"
"9008","-1","1343__57706","57706","1343__57706-1","p__Proteobacteria"
"9152","1","470__582","470","470__5821","p__Proteobacteria"
"9160","-1","470__582","582","470__582-1","p__Proteobacteria"
"9530","1","1623__52767_179628","1623","1623__52767_1796281","p__Terrabacteria group"
"9616","-1","1623__52767_179628","52767","1623__52767_179628-1","p__Terrabacteria group"
"9670","-1","1623__52767_179628","179628","1623__52767_179628-1","p__Terrabacteria group"
"9992","-1","351091__239935_328813","239935","351091__239935_328813-1","p__PVC group"
"10006","-1","351091__239935_328813","328813","351091__239935_328813-1","p__FCB group"
"10013","1","351091__239935_328813","351091","351091__239935_3288131","p__Terrabacteria group"
"10144","-1","1203033__1681_39778","1681","1203033__1681_39778-1","p__Terrabacteria group"
"10211","-1","1203033__1681_39778","39778","1203033__1681_39778-1","p__Terrabacteria group"
"10363","1","1203033__1681_39778","1203033","1203033__1681_397781","p__Terrabacteria group"
"10491","1","33034__309120","33034","33034__3091201","p__Terrabacteria group"
"10611","-1","33034__309120","309120","33034__309120-1","p__Terrabacteria group"
"10879","1","147802__310297_310298","147802","147802__310297_3102981","p__Terrabacteria group"
