"","74426__45067_121428","1512__218538","487175__1492_29466","1504__38986_61635","84112__1343_57706","1492__29466","47715__943673","1428__454171","658062__29542_425358","45067__121428","33075__1113802","101070__521466","29542__425358","97478__470_582","856__33029_390877","216778__676599","1260__33034_309120","301301__105841_871324","1684__860_158847","820__454154","536633__111015_214856","488__483_28091","76860__1385387","29389__52242","46867__36850_1465754","291644__1559_165179","29360__52787","246787__2751_194326","1535__1161942","1343__57706","470__582","1623__52767_179628","351091__239935_328813","1203033__1681_39778","33034__309120","147802__310297_310298","111015__214856","103621__1328_1655","1522__84026_103892","1559__165179","1379__1520_1121298","36745__39492_78342","410072__40520_166486","121163__59505_216816","115979__851_1597","239935__328813","39497__28117_397865","1681__39778","1656__1496_33035","261299__41976_161879","84026__103892","852__197614_437898","1328__1655","29354__45254_84031","29367__823_28026","39492__78342","1338__1303_1547","86663__1282_1735","40520__166486","1688__1689_208479","851__1597","1520__1121298","1496__33035","1613__1596_33959","36740__33007_69825","310297__310298","39029__1280_29385","28117__397865","328814__28116_28901","43675__1304_1308","35833__329854","39485__729_28161","1282__1735","282125__28126_187327","197614__437898","46506__818_47678","45254__84031","626932__1307_40518","1303__1547","823__28026","39493__1561_163665","1689__208479","33007__69825","28116__28901","37734__1352_28037","1307__40518","735__89014_183417","202789__181487_308994","1349__1311_46503","1533__315405","33029__390877","105841__871324","28126__187327","114702__106654_1195760","860__158847","562__1685_762210","1596__33959","36850__1465754","1561__163665","546__33031_1827099","29348__156974","301302__85831_196024","573__1335_69208","1078392__1314_1408","38986__61635","626930__817_387661","2145__109790_156980","483__28091","818__47678","1311__46503","1352__28037","13335__33038_762212","2751__194326","1304__1308","89014__183417","817__387661","102684__727_234908","52767__179628","41976__161879","1598__762211","1280__29385","1694__1680_35760","181487__308994","1335__69208","106648__821_371601","106654__1195760","33038__762212","33031__1827099","85831__196024","1314__1408","1691__623_39777","1264__39491","821__371601","109790__156980","727__234908","1755607__357276_1755626","1110546__78345_574930","1680__35760","729__28161","158787__1686_78448","357276__1755626","59505__216816","623__39777","853__71656_1297750","78345__574930","1685__762210","71656__1297750","1686__78448"
"SRR6263965",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04970589195773,0,0,0,0,0,0,0,0,4.0773455441329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.82598327897516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16269581295618,0,0,0,0,0,0,0,0,0,0,0,-1.99009281904847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.08226624608965,0,0,-1.75668608501578,0,0,0,0,0,0,0,3.0426695521966,0,0,-2.24533900200876,0,-3.60659093311299,0,0,3.88904123169517,0,0,0,0,-0.36899347019589,0,0
"SRR6263966",0,0,4.11474565042478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08340974740462,0,0,0,0,0,0,0,0,0,0,0,0,-5.69039027073364,0,0,0,0,0,0,0,0,0,0,0,0,0.632038927293294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.42103984269334,0,0,0,0,0,0,-2.45621407366809,0,0,0,0,0,0,0,5.9254148222623,0,0,0,0,-2.36900946956066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25428756985886,-4.10324476489087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.8208471232869,0,0,0,0,4.88585053791742,0,0,0,0,0,0,0
"SRR6263967",0,0,-2.31043258627811,0,0,-4.00178662689645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.80661901367816,0,0,0,0,0,0,0,0,0,0,-2.57273394671058,0,0,0.553696323002337,0,0,0,0,0,0,0,0,0,0,0,0,4.45610591005992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73530607668032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.401313393474,0,0,3.00563829149332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.70090670919081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.94605683925327,0,0,0,0,0,0,0,-0.290994672862298,0,0
"SRR6263969",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.683808233819967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17573165970925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.6065856400176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.51473876278992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.91476309831066,0,0,0,0,0,0,0,0,0,-2.72447524791709,0,0,0,0,0,0,0,0,0,4.71892955335622,0,0,0,0,0,0,0,0,-2.99385563047688,0,0,0,0,0,0,0,5.18551006251211,0,0,-2.10642890205055,0,0,0,0,-3.64844188088308,0,0,0,0,-0.193748974151224,0,0
"SRR6263970",0,0,0,0,-2.86915651752565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96952486322181,0,0,0,-2.7372164503054,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74099796324228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.80328799223551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5384165268157,0,0,0,0,0,0,0,0,0,0,-6.67181624490291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.39666639521731,0,0,0.228831855133409,0,0,0,0,0,0,0,-4.94570431662927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0768226042088821,0,0,0,0,0,0,0,-0.617279340227912,0,0
"SRR6263972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.52298589397679,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36993975514738,0,0,0,0,-2.62534659280203,0,0,0,0,0,0,0,0,-2.79811381583275,0,0,0,-2.57993820321758,0,0,-4.54723368621095,0,0,0,0,0,0.0642082730622532,0,0,0,0,0,4.4685840483608,0,0,0,-4.84647529438276,0,0,0,0,0,0,0,-2.73579622430795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.73853805965646,0,0,0,0,0,0,0,0,0,0.330363218323685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR6263974",0,-2.15947663605078,4.09315383517646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.66328185982321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.61293949609033,0,0,0,0,0,0,0,0,0,2.57481372259231,0,0,0,0,0,0,0,-2.81858889189255,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36367160156655,0,0,0,0,0,0,0,0,0,0,4.88193916640716,0,0,0,-3.78847059217114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.6316184382917,0,0,0,0,0,0,0,6.29014764882516,0,0,-2.89062400195874,0,0,0,0,-5.00670763697062,0,0,0,0,0,0,0
"SRR6263975",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.509498242589732,0,0,1.69906315249682,0,-0.392053129213507,0,0,0,-0.183507839185766,0,0,0,0,0,0,0,0,-1.87493569915882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.333631160187489,0,0,0.317844901056926,0,3.24748389186776,0,0,0,0,0.57786612043288,0,0,0,0,0.882476842532469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.679055939064159,0,0,0,0,-0.226520288383037,0,0,0.392344648424574,0
"SRR6263976",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16715064217921,0,0,0,0,0,0,0,0,0,0,0,0,-2.32620511678994,0,0,0,0,0,0,0,0,0,0,0,0,4.02910545110687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.50265655188388,0,0,0,0,0,0,2.48333067428889,0,-2.95098890946043,0,0,0,0,0,6.0667791093269,0,-5.11126272375773,0,0,-2.52186497403389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.42572147576415,-4.36799826485507,0,0,0,0,0,0,0,0,0,0,0,-2.47588496978968,0,0,-2.9318294222434,0,0,0,0,0,0,0,5.07807751845088,0,0,0,0,4.28835856137186,0,0,0,0,0,0,0,0,0,0
"SRR6263980",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76059670896432,0,0,0,0,0,-2.50909067708918,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.34587253351585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.63560354263133,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.91289105459951,0,0,0,0,0,0,-3.07128499180131,0,0,0,4.56499924444599,0,0,0,5.04527530347925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.25042837801235,0,0,5.31962165032363,0,0,0,0,0,0,5.62990709708108,0,0,0,0,0,0,0,0,-3.28967407555385,0,0,0,0,0,0,0,5.69788263920144,0,0,-3.98455725494858,0,0,0,0,-0.400989496572609,0,0,0,0,0,0,0
