,D000755,D006262,accuracy,macro avg,weighted avg
precision,0.83,0.75,0.79,0.79,0.79
recall,0.71,0.86,0.79,0.79,0.79
f1-score,0.77,0.8,0.79,0.78,0.78
support,14.0,14.0,0.79,28.0,28.0
