"","Part","BalanceID","Component","Group","d.group"
"55","1","39491__47770_204516","39491","39491__47770_2045161","p__Terrabacteria group"
"69","-1","39491__47770_204516","47770","39491__47770_204516-1","p__Terrabacteria group"
"82","-1","39491__47770_204516","204516","39491__47770_204516-1","p__FCB group"
"157","-1","1735__1623_28111","1623","1735__1623_28111-1","p__Terrabacteria group"
"161","1","1735__1623_28111","1735","1735__1623_281111","p__Terrabacteria group"
"163","-1","1735__1623_28111","28111","1735__1623_28111-1","p__FCB group"
"256","-1","53345__573_1286","573","53345__573_1286-1","p__Proteobacteria"
"270","-1","53345__573_1286","1286","53345__573_1286-1","p__Terrabacteria group"
"316","1","53345__573_1286","53345","53345__573_12861","p__Terrabacteria group"
"370","-1","584__287_582","287","584__287_582-1","p__Proteobacteria"
"380","-1","584__287_582","582","584__287_582-1","p__Proteobacteria"
"381","1","584__287_582","584","584__287_5821","p__Proteobacteria"
"519","-1","1358__1351_1363","1351","1358__1351_1363-1","p__Terrabacteria group"
"523","1","1358__1351_1363","1358","1358__1351_13631","p__Terrabacteria group"
"524","-1","1358__1351_1363","1363","1358__1351_1363-1","p__Terrabacteria group"
"638","1","1283__1318","1283","1283__13181","p__Terrabacteria group"
"641","-1","1283__1318","1318","1283__1318-1","p__Terrabacteria group"
"816","1","154046__310297","154046","154046__3102971","p__Terrabacteria group"
"830","-1","154046__310297","310297","154046__310297-1","p__FCB group"
"865","1","329__501496","329","329__5014961","p__Proteobacteria"
"973","-1","329__501496","501496","329__501496-1","p__FCB group"
"1059","1","116085__384638","116085","116085__3846381","p__Terrabacteria group"
"1089","-1","116085__384638","384638","116085__384638-1","p__Terrabacteria group"
"1200","1","310298__376804","310298","310298__3768041","p__FCB group"
"1211","-1","310298__376804","376804","310298__376804-1","p__FCB group"
"1301","1","54291__158836","54291","54291__1588361","p__Proteobacteria"
"1309","-1","54291__158836","158836","54291__158836-1","p__Proteobacteria"
"1361","-1","1352__562_820","562","1352__562_820-1","p__Proteobacteria"
"1370","-1","1352__562_820","820","1352__562_820-1","p__FCB group"
"1381","1","1352__562_820","1352","1352__562_8201","p__Terrabacteria group"
"1483","1","550__40214_40324","550","550__40214_403241","p__Proteobacteria"
"1533","-1","550__40214_40324","40214","550__40214_40324-1","p__Proteobacteria"
"1534","-1","550__40214_40324","40324","550__40214_40324-1","p__Proteobacteria"
"1653","1","39488__216816","39488","39488__2168161","p__Terrabacteria group"
"1683","-1","39488__216816","216816","39488__216816-1","p__Terrabacteria group"
"1786","-1","363265__45851_454155","45851","363265__45851_454155-1","p__Terrabacteria group"
"1824","1","363265__45851_454155","363265","363265__45851_4541551","p__FCB group"
"1831","-1","363265__45851_454155","454155","363265__45851_454155-1","p__FCB group"
"1846","1","287__582","287","287__5821","p__Proteobacteria"
"1856","-1","287__582","582","287__582-1","p__Proteobacteria"
"1976","1","562__820","562","562__8201","p__Proteobacteria"
"1985","-1","562__820","820","562__820-1","p__FCB group"
"2201","1","457412__751585","457412","457412__7515851","p__Terrabacteria group"
"2212","-1","457412__751585","751585","457412__751585-1","p__Terrabacteria group"
"2276","1","40545__665951","40545","40545__6659511","p__Proteobacteria"
"2333","-1","40545__665951","665951","40545__665951-1","p__Terrabacteria group"
"2390","1","39486__626940","39486","39486__6269401","p__Terrabacteria group"
"2455","-1","39486__626940","626940","39486__626940-1","p__Terrabacteria group"
"2470","1","573__1286","573","573__12861","p__Proteobacteria"
"2484","-1","573__1286","1286","573__1286-1","p__Terrabacteria group"
"2617","1","1623__28111","1623","1623__281111","p__Terrabacteria group"
