"","39491__47770_204516","1735__1623_28111","53345__573_1286","584__287_582","1358__1351_1363","1283__1318","154046__310297","329__501496","116085__384638","310298__376804","54291__158836","1352__562_820","550__40214_40324","39488__216816","363265__45851_454155","287__582","562__820","457412__751585","40545__665951","39486__626940","573__1286","1623__28111","1354__328814_1118061","46228__28116_46506","1680__43765_411489","1351__1363","817__322095","371601__40518_46503","45851__454155","166486__552398","47770__204516","546__1689_33038","328813__624_28126","387090__39492_47678","626933__823_487174","100886__165179_218538","28116__46506","40518__46503","33043__853_357276","39492__47678","165179__218538","33039__821_246787","823__487174","853__357276","328814__1118061","28125__818_28117","239935__301301","821__246787","43765__411489","296__674529","818__28117","291644__328812","729__40520","624__28126","1689__33038","40214__40324","303__1681_261299","1681__261299"
"ERR2239132",0,0,0,0,0,0,0,0,0,0,0,-2.96166862596833,0,0,0,0,-5.12976053535986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.21973997167463,0,0,0,-5.41144456943249,0,0,0,0.0730717911856391,0.303400626394575,0,-2.55902009623034,4.31327078371384,0,0,0,4.43235282426075,0,0,0,0,0,0,0
"ERR2239172",4.7887118938662,0,0,0,0,0,0,0,0,0,0,-5.870599247317,0,0,0,0,1.59442894273563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56451013931961,0,0,0,-5.70310348283021,0,0,-2.64800368787255,0,0.704332079626922,-2.65759677162851,0,4.58647692602502,0,-2.6900958712477,0,4.6030926344916,0,0,-4.65938272623229,0,0,0,0,0,0,0
"ERR2239207",0,0,0,0,0,0,0,0,0,0,0,-3.67300082350503,-2.5766813756122,0,0,0,6.36182404255304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.97657584710709,0,0,0,0,0,0,0,0,0,1.11224182108788,0,0,0,0,0,3.35260053835885,0,3.00746720293628,0,0,0,0,-3.42352979220297,4.46294305747679,1.05233750710069,-0.0910256860649206
"ERR2239212",5.2845764663365,0,0,0,0,0,0,0,0,0,0,-6.33212118504108,0,0,0,0,1.90275153422983,0,0,0,0,0,0,0,5.2765712755458,0,0,0,0,0,0,0,0,0,-2.0734914172931,0,0,0,0,0,0,-2.69499257312574,3.59139248380965,0,0,-2.1210761976499,4.05932128787712,4.66786406267457,0,0,3.67381174105462,0,0,0,0,0,0,0
"ERR2239217",0,0,0,0,0,0,0,0,0,0,0,-3.18450543474415,0,0,0,0,-5.51572520995609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.32369950563046,0,0,0,0,-3.67780032726601,5.75681641284351,0,0,0,-6.37013702691818,0,0,2.92954942760287,0,0,0,0,0,0,0,0,0,0,0
"ERR2239222",0,0,-2.45708070057826,0,0,0,0,0,0,0,0,-5.97684612514138,0,0,0,0,1.84003120790797,0,0,0,4.25578861169847,0,-4.69362527033369,0,0,0,0,0,0,0,0,0,0,-3.12997993779946,0,0,0,0,0,5.42128427893994,0,-2.46525286767376,0,0,0.0544000555693014,-2.3264049713277,0,-4.26994322031583,0,0,-4.0294516093204,0,0,0,0,0,0,0
"ERR2239227",6.24181568525318,0,0,0,0,0,0,0,0,0,0,-2.82022673761043,0,0,-2.48649495519115,0,-4.88477599840548,0,0,0,0,0,0,-3.25727162546051,0,0,0,0,4.30673559515477,0,0,0,0,-2.85531043835418,0,0,5.64175994935007,0,-3.27362399093878,4.9455427506112,0,-2.76963600495754,0,5.67008307718236,0,-2.73779443349404,0,4.79715027905854,0,0,-4.74199905949094,0,0,0,0,0,0,0
"ERR2239230",6.10794572950131,0,0,0,0,5.27028567841706,0,0,0,0,0,-2.7856698774896,0,0,0,0,-4.82492176092615,-5.21128897527772,0,0,0,0,0,0,0,0,0,-2.38168871897809,0,0,0,0,0,0,0,0,0,-4.12520586908368,-3.41181977590619,0,0,-2.66689191981327,0,5.90944519813779,0,-5.26006351424397,0,4.61919230341148,0,0,0.224347973292096,0,0,0,0,0,0,0
"ERR2239231",0,5.19620252677146,0,0,0,4.06728183275936,0,0,0,0,0,-2.93605564914986,0,-4.05551973296425,0,0,-5.08539755817718,0,0,0,0,0,0,0,0,0,0,-2.67783337224585,0,0,0,0,0,0,-2.38453315576536,0,0,4.63814345493332,-6.23630604806806,0,0,0,4.13013257811815,1.05314654954161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239235",0,0,0,0,0,0,0,0,0,0,0,-2.53393302631329,0,0,0,0,-4.38890074455139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.57352852768088,-3.60123232847713,0,0,-2.87627506250147,0,6.23751736278196,-2.4127307700029,-4.45748216467122,4.9818545447959,0,2.5162805704373,0,4.17897227862981,0,0,-4.96814490517314,0,0,0,0,0,0,0
"ERR2239236",0,0,0,0,0,0,0,0,0,0,0,-3.1878267673013,0,0,0,0,-5.52147792669389,0,0,0,0,0,0,-2.48602975383341,0,0,0,0,0,0,0,0,0,-2.64254152355602,0,0,4.30592984276741,0,-2.46793551467866,-4.57701617990949,0,-3.41682693511273,0,4.27458970122708,0,-5.69483358804418,5.20626203902122,5.9181178522851,0,0,-0.513797599646977,0,0,0,0,0,0,0
"ERR2239237",4.99892567690745,0,0,0,0,0,0,0,0,5.63652540945668,0,-2.62442446181353,0,0,0,0,-4.54563650848764,0,0,0,0,0,0,-2.86697757847379,0,0,0,2.42733879557984,0,4.54415412775352,0,0,0,0,0,-2.57724642523938,4.96575083007739,-4.92638037127863,0,0,-4.46392175213987,-3.51417256399193,0,0,0,0,0,6.08672542739861,0,0,0,0,0,0,0,0,0,0
"ERR2239245",0,0,5.15548040585902,0,-2.52791407633648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.01803698013511,0,0,0,0,0,4.37847561738334,0,-2.52637989682827,0,0,0,0,0,0,0,3.17056634100876,0,-4.37581834052719,-3.17494812005531,0,5.05702286986763,-2.70439733670525,0,5.49917145533108,0,0,0,4.68415359102746,0,0,0,0,0,0,0,0,0,0
"ERR2239246",6.1813294380263,0,0,0,0,0,0,0,0,0,0,-2.20714817941,5.72339743761104,0,0,0,-3.82289278657127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84604273267891,0,0,0,-2.53415448944485,0,0,-2.83901114191153,0,4.38928432994725,-2.2795122855928,0,4.91731154104491,0,0,0,3.94823109512419,0,5.93122029264627,0,0,0,0,0,0,0,0
