,D004827,D006262,accuracy,macro avg,weighted avg
precision,0.89,1.0,0.94,0.94,0.94
recall,1.0,0.87,0.94,0.94,0.94
f1-score,0.94,0.93,0.94,0.94,0.94
support,187.0,187.0,0.94,374.0,374.0
