,D006262,D013167,accuracy,macro avg,weighted avg
precision,0.8,0.76,0.78,0.78,0.78
recall,0.75,0.82,0.78,0.78,0.78
f1-score,0.77,0.79,0.78,0.78,0.78
support,114.0,114.0,0.78,228.0,228.0
