,D006262,D007410,accuracy,macro avg,weighted avg
precision,0.77,0.73,0.75,0.75,0.75
recall,0.72,0.78,0.75,0.75,0.75
f1-score,0.74,0.76,0.75,0.75,0.75
support,1170.0,1170.0,0.75,2340.0,2340.0
