oldID,newID
28130_and_76517,28130__76517
1282_and_39489,1282__39489
1463837_and_1670,1670__1463837
28037_and_387090,28037__387090
228603_and_29356,29356__228603
1623_and_301,301__1623
225991_and_329854_and_454154,225991__329854_454154
39485_and_817,817__39485
341225_and_879,879__341225
143393_and_562,562__143393
52787_and_78342,52787__78342
1611423_and_2173,2173__1611423
204516_and_33038,33038__204516
285_and_83617,285__83617
1161942_and_1265_and_547163,547163__1265_1161942
189722_and_310298,189722__310298
53412_and_658457,53412__658457
1535_and_1755626,1535__1755626
1260_and_28128,1260__28128
437898_and_626931,437898__626931
41276_and_55197,41276__55197
101564_and_529,529__101564
118748_and_1613,1613__118748
1113922_and_745310,745310__1113922
29552_and_39496,29552__39496
1515_and_29348,1515__29348
214856_and_487175,214856__487175
1280_and_28025,1280__28025
329854_and_454154,329854__454154
294_and_587753,294__587753
165179_and_216947_and_328813,216947__165179_328813
1559_and_36745,1559__36745
1161942_and_1265,1265__1161942
165179_and_328813,165179__328813
