,D006262,D012559,accuracy,macro avg,weighted avg
precision,0.78,0.67,0.74,0.73,0.74
recall,0.78,0.68,0.74,0.73,0.74
f1-score,0.78,0.68,0.74,0.73,0.74
support,1170.0,789.0,0.74,1959.0,1959.0
