"","329__820_853","823__39491","1304__1358_1363","40214__40324","28130__116085_371601","1282__818_47678","411489__28111_357276","820__853","674529__487175_552398","328812__363265_384638","1260__33043","1582__296_626940","626932__165179_360807","100886__39486_410072","116085__371601","54291__158836","291644__751585","28111__357276","582__287_88431","729__46506_166486","1283__562_328813","818__47678","1689__1735_216816","550__545_624","1286__571_573","363265__384638","40519__546_33039","1354__40545_310297","296__626940","165179__360807","626933__239935_246787","287__88431","562__328813","28126__46228_328814","322095__817_218538","338188__28117_40518","546__33039","1623__1680_45851","46506__166486","665951__821_204516","239935__246787","40545__310297","817__218538","571__573","501496__39485_39492","1680__45851","1735__216816","821__204516","1318__28026_147207","46228__328814","37734__28116_487174","301301__457412","28117__40518","39485__39492","74426__147802","1358__1363","28116__487174","487175__552398","43765__1681_754333","545__624","1681__754333","1352__1353","39486__410072","28026__147207"
"ERR2238748",4.37162383613073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3405232522659,0,0,0,0,0,0,0,0,0,0,0,4.05390518922088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238754",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.12670005798511,0,0,0,0,0,0,0,0,0,0,0,1.28640033228355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238756",2.95919882143839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00831577724486,0,0,0,0,-3.83760794111102,0,0,0,-2.35072102396643,0,-2.30219463954277,0,0,0,0,0,6.64693193353407,0,0,0,3.9875180846008,0,0,0,0,0,0,-4.0715682479302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2238757",6.34390769689421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239132",-5.75497406582028,4.55696239290458,0,0,0,-2.55901956546789,-2.61813753729319,0.291611753862687,0,0,0,5.07846445111713,0,0,0,0,0,-4.53474723579506,0,0,0,4.43235190495322,0,0,0,0,0,0,0,0,-2.49026751730248,0,0,0,0,0,0,0,0,0,4.31326986440631,0,0,0,0,0,0,0,0,0,-2.58877544591926,0,0,0,0,0,-4.48389060171894,0,0,0,0,0,0,0
"ERR2239172",-5.12303026036008,-4.14714523218529,0,0,0,0,0,-0.299603313778501,0,0,0,0,-3.0548743685384,0,0,0,0,0,0,0,-3.39557108254212,0,0,0,0,0,-2.78225453889735,0,0,5.2911976170484,0,0,5.88130163567461,0,-2.64822805276691,-2.69009534048525,4.81900622095934,0,0,-2.65759624086606,0,0,-4.58686553742148,0,0,0,0,4.60309171518407,0,0,0,0,4.65938180692476,0,0,0,0,0,0,0,0,0,0,0
"ERR2239212",-2.61678300651381,-0.985184984279156,0,0,0,-2.12107566688744,0,4.53240111966476,0,0,0,0,0,0,0,0,0,0,0,0,-3.71533711700237,3.67381082174709,0,0,0,0,0,0,0,0,-2.34364970752058,0,6.43515265389458,0,0,0,0,-2.63828510701045,0,-2.69499204236329,4.05932036856959,0,0,0,0,4.56964385019439,0,4.66786314336703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR2239217",-3.18450490397998,0,0,0,0,0,-3.67779979650184,5.51572429064557,0,0,0,0,0,0,0,0,0,-6.37013610760766,0,0,0,0,0,0,0,0,0,0,0,0,-1.69137561986665,0,0,0,0,0,0,0,0,0,2.92954850829235,0,0,0,-3.32369897486628,0,0,0,0,0,0,0,0,-5.75681549353299,0,0,0,0,0,0,0,0,0,0
"ERR2239219",-3.28870481570773,-4.8444763639955,0,0,0,0,0,-5.69620383190222,0,-2.157761181193,0,-2.94800241104652,-5.84192807303452,0,0,0,0,0,0,-2.80975312992265,0,0,-2.22255768272293,0,0,3.73735199642611,0,0,-5.10608995676812,2.17521407229176,0,0,0,0,0,0,0,0,-4.86663517775171,0,0,0,0,0,-2.21991377408651,0,3.84958282922867,0,0,0,0,0,0,3.84500344513981,0,0,0,0,0,0,0,0,0,0
"ERR2239222",-2.45725127520675,0,0,0,0,0,0,4.25608405562151,0,0,0,0,-2.21840307962987,0,0,0,0,0,0,0,-3.51959378840973,0,0,0,-2.4570801698158,0,0,0,0,-3.84238684558619,-2.46525233691131,0,6.09611526352947,-2.36251604776783,0,-2.32640444056525,0,0,0,0,-4.2699423010083,0,0,-4.25578769239094,-3.12997940703701,0,0,0,0,-4.09199782843069,0,0,4.02945069001286,-5.42128335963241,0,0,0,0,0,0,0,0,0,0
