oldID,newID
329_and_820_and_853,329__820_853
39491_and_823,823__39491
1304_and_1358_and_1363,1304__1358_1363
40214_and_40324,40214__40324
116085_and_28130_and_371601,28130__116085_371601
1282_and_47678_and_818,1282__818_47678
28111_and_357276_and_411489,411489__28111_357276
820_and_853,820__853
487175_and_552398_and_674529,674529__487175_552398
328812_and_363265_and_384638,328812__363265_384638
1260_and_33043,1260__33043
1582_and_296_and_626940,1582__296_626940
165179_and_360807_and_626932,626932__165179_360807
100886_and_39486_and_410072,100886__39486_410072
116085_and_371601,116085__371601
158836_and_54291,54291__158836
291644_and_751585,291644__751585
28111_and_357276,28111__357276
287_and_582_and_88431,582__287_88431
166486_and_46506_and_729,729__46506_166486
1283_and_328813_and_562,1283__562_328813
47678_and_818,818__47678
1689_and_1735_and_216816,1689__1735_216816
545_and_550_and_624,550__545_624
1286_and_571_and_573,1286__571_573
363265_and_384638,363265__384638
33039_and_40519_and_546,40519__546_33039
1354_and_310297_and_40545,1354__40545_310297
296_and_626940,296__626940
165179_and_360807,165179__360807
239935_and_246787_and_626933,626933__239935_246787
287_and_88431,287__88431
328813_and_562,562__328813
28126_and_328814_and_46228,28126__46228_328814
218538_and_322095_and_817,322095__817_218538
28117_and_338188_and_40518,338188__28117_40518
33039_and_546,546__33039
1623_and_1680_and_45851,1623__1680_45851
166486_and_46506,46506__166486
204516_and_665951_and_821,665951__821_204516
239935_and_246787,239935__246787
310297_and_40545,40545__310297
218538_and_817,817__218538
571_and_573,571__573
39485_and_39492_and_501496,501496__39485_39492
1680_and_45851,1680__45851
1735_and_216816,1735__216816
204516_and_821,821__204516
1318_and_147207_and_28026,1318__28026_147207
328814_and_46228,46228__328814
28116_and_37734_and_487174,37734__28116_487174
301301_and_457412,301301__457412
28117_and_40518,28117__40518
39485_and_39492,39485__39492
147802_and_74426,74426__147802
1358_and_1363,1358__1363
28116_and_487174,28116__487174
487175_and_552398,487175__552398
1681_and_43765_and_754333,43765__1681_754333
545_and_624,545__624
1681_and_754333,1681__754333
1352_and_1353,1352__1353
39486_and_410072,39486__410072
147207_and_28026,28026__147207
