,D006262,D008107,accuracy,macro avg,weighted avg
precision,0.97,0.86,0.92,0.92,0.93
recall,0.9,0.96,0.92,0.93,0.92
f1-score,0.94,0.91,0.92,0.92,0.93
support,187.0,119.0,0.92,306.0,306.0
