,D006262,D008171,accuracy,macro avg,weighted avg
precision,0.64,0.7,0.67,0.67,0.67
recall,0.76,0.57,0.67,0.67,0.67
f1-score,0.69,0.63,0.67,0.66,0.66
support,187.0,187.0,0.67,374.0,374.0
